datetime,0x_whale_transaction_volume_100k_usd_to_inf,1inch_whale_transaction_volume_100k_usd_to_inf,aave_whale_transaction_volume_100k_usd_to_inf,alchemix_whale_transaction_volume_100k_usd_to_inf,ampleforth_whale_transaction_volume_100k_usd_to_inf,api3_whale_transaction_volume_100k_usd_to_inf,bancor_whale_transaction_volume_100k_usd_to_inf,band-protocol_whale_transaction_volume_100k_usd_to_inf,coin98_whale_transaction_volume_100k_usd_to_inf,cow-protocol_whale_transaction_volume_100k_usd_to_inf,crvusd_whale_transaction_volume_100k_usd_to_inf,dia-data_whale_transaction_volume_100k_usd_to_inf,dydx_whale_transaction_volume_100k_usd_to_inf,frax_whale_transaction_volume_100k_usd_to_inf,frax-share_whale_transaction_volume_100k_usd_to_inf,injective-protocol_whale_transaction_volume_100k_usd_to_inf,lido-dao_whale_transaction_volume_100k_usd_to_inf,liquity_whale_transaction_volume_100k_usd_to_inf,liquity-usd_whale_transaction_volume_100k_usd_to_inf,loopring_whale_transaction_volume_100k_usd_to_inf,magic-internet-money_whale_transaction_volume_100k_usd_to_inf,maker_whale_transaction_volume_100k_usd_to_inf,marlin_whale_transaction_volume_100k_usd_to_inf,melon_whale_transaction_volume_100k_usd_to_inf,olympus_whale_transaction_volume_100k_usd_to_inf,orbs_whale_transaction_volume_100k_usd_to_inf,orion-protocol_whale_transaction_volume_100k_usd_to_inf,pendle_whale_transaction_volume_100k_usd_to_inf,rocket-pool_whale_transaction_volume_100k_usd_to_inf,spell-token_whale_transaction_volume_100k_usd_to_inf,ssv-network_whale_transaction_volume_100k_usd_to_inf,sushi_whale_transaction_volume_100k_usd_to_inf,tellor_whale_transaction_volume_100k_usd_to_inf,uma_whale_transaction_volume_100k_usd_to_inf,uniswap_whale_transaction_volume_100k_usd_to_inf,yearn-finance_whale_transaction_volume_100k_usd_to_inf
2023-06-23 00:00:00+00:00,0.0,940151.728,12572219.823053123,0.0,0.0,331800.15059812425,1021670.5147439848,0.0,7668092.759354794,0.0,0.0,0.0,8153744.710346811,3686992.152283528,4539801.989685071,951455.8818994636,9941713.538510436,621995.6983562412,6565195.964791173,291525.6892902624,496208.6250438505,38368181.94207539,0.0,0.0,214178.02110608085,0.0,0.0,486710.3983542204,24339834.849936888,592342.6593886872,182308.0146830998,7340451.857942555,0.0,0.0,20940068.985234126,798625.1578142646
2023-06-24 00:00:00+00:00,0.0,991296.4787530706,1431459.356304396,755127.9816859732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317839.59800574556,7915977.327571382,949132.3844579788,0.0,5477275.797193874,128693.7855579095,16483588.471742611,7820906.317008557,7044417.744,6553239.343637603,0.0,153999.5783402839,126742.96534213996,0.0,0.0,128470.70565421131,930710.2794253957,405410.2405082287,0.0,891547.5429369422,0.0,346818.7396169986,14038323.971974917,0.0
2023-06-25 00:00:00+00:00,1022638.0813999572,971348.2653278932,105388431.08754158,0.0,139713.62220925378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687786.6481852161,13688281.240332313,1399626.8782408005,0.0,6547076.386397494,497362.5375667872,3646530.2252948824,377012.8056500927,0.0,0.0,0.0,0.0,756519.9507734636,312005.4991598291,0.0,751508.1305684656,7527691.857206817,0.0,102858.94275317428,1884194.1232541064,0.0,347831.7771550013,33036030.578442104,1289532.1509712634
2023-06-26 00:00:00+00:00,342794.2207149964,4731806.344072577,78366428.66876544,0.0,4277463.566272059,127649.92845904524,0.0,0.0,122355.74900560048,0.0,0.0,508003.21424474625,2143380.7444522846,12113304.641527517,30678080.327710003,1900505.085782017,4754407.171731579,123803.92772748807,10956025.793004625,304237.0153280658,0.0,3797048.656214967,0.0,0.0,3795303.642,0.0,0.0,517489.3452551079,4549720.668,0.0,461732.2445,10266526.401687304,0.0,238534.0732115758,32468150.291920435,154019.48423812006
2023-06-27 00:00:00+00:00,0.0,216794.93415474205,39937486.923718624,0.0,0.0,0.0,140404.18287885378,,0.0,,,0.0,4610399.209828683,16555691.649389308,3139186.9846643936,149546.01794592134,26431470.146410305,0.0,9101509.46,0.0,0.0,24986774.014653925,,0.0,2659618.6317138574,306324.7962588663,738915.8272,3564068.434401816,537326.2019723391,102135.45363637364,0.0,0.0,210927.6557508368,0.0,48548035.73661891,2252801.6287041493
2023-06-28 00:00:00+00:00,3046716.843659003,8174262.864959137,25390681.523262925,0.0,1334718.3825815148,205052.60662512472,971306.0400233231,,0.0,,9723102.156,3370017.765700477,2474691.8759262436,5903020.011430461,5720498.115516433,0.0,6257173.191069096,516127.30631418206,28647290.58079264,774342.1861167257,359902.70390617143,2884033.8863367834,1451784.0797915114,0.0,6448681.916990153,0.0,0.0,1627897.2230755193,1504865.498345215,2184937.9622030305,0.0,8713000.246080631,0.0,0.0,46837837.51279775,2214960.0269874367
2023-06-29 00:00:00+00:00,710223.3058895048,2658945.067237067,10553199.153542932,,0.0,105824.17440020671,283040.49546795094,,518149.4869243392,,32939876.188800927,0.0,490354.4608702044,13431652.483088275,927914.9982,400943.2562336413,22947544.77431761,2244092.631652971,37115751.16219133,929423.8059347328,1037720.2666946836,4021369.361540547,0.0,,679166.5011735971,297106.6942874297,0.0,312269.0143683411,181448.5732718765,0.0,0.0,259065.4849658561,0.0,0.0,13392210.303395107,2180922.488963792
2023-06-30 00:00:00+00:00,586877.1760491345,366050.688,31523924.55454764,,0.0,150270.1713,0.0,,0.0,,18172391.89601843,0.0,5027035.160045289,21435311.817225587,2735525.327117289,241358.19645523463,19346399.01020426,4292936.929,24014367.428758968,569879.308,782960.2239141931,19978207.056965616,0.0,,1291670.2734023998,0.0,0.0,2063417.7451861256,3336802.1733454233,178632.7084995019,191990.05017524603,995086.5056721164,0.0,0.0,12368738.134345854,824038.3963
2023-07-01 00:00:00+00:00,0.0,0.0,7679426.421784129,,0.0,0.0,0.0,,0.0,,22330916.897564992,0.0,415194.2286594567,6605418.511845098,0.0,0.0,6521527.795226242,2257277.322900815,14957432.975836618,0.0,1286114.013517988,2811869.7237789244,0.0,,612779.8546516063,0.0,0.0,103461.55755215853,8062845.057055613,0.0,0.0,243930.08504020935,0.0,190283.42183001817,5429922.557379158,441671.06559674675
2023-07-02 00:00:00+00:00,0.0,264630.4981853454,13575287.079439748,,0.0,0.0,0.0,,0.0,,17890788.293464027,0.0,0.0,4137583.218376279,1155793.3966731688,108129.73877845364,7059274.062245722,104220.53474539552,6993793.4250095915,146159.74402412042,0.0,2245306.080221307,0.0,,0.0,0.0,,470641.81931885326,15947037.216159662,100685.24539501908,577926.2717899363,331306.7923433638,,359731.4275502702,23863309.045342986,910307.4467770736
