datetime,0x_whale_transaction_count_100k_usd_to_inf,1inch_whale_transaction_count_100k_usd_to_inf,aave_whale_transaction_count_100k_usd_to_inf,alchemix_whale_transaction_count_100k_usd_to_inf,ampleforth_whale_transaction_count_100k_usd_to_inf,api3_whale_transaction_count_100k_usd_to_inf,bancor_whale_transaction_count_100k_usd_to_inf,band-protocol_whale_transaction_count_100k_usd_to_inf,coin98_whale_transaction_count_100k_usd_to_inf,cow-protocol_whale_transaction_count_100k_usd_to_inf,crvusd_whale_transaction_count_100k_usd_to_inf,dia-data_whale_transaction_count_100k_usd_to_inf,dydx_whale_transaction_count_100k_usd_to_inf,frax_whale_transaction_count_100k_usd_to_inf,frax-share_whale_transaction_count_100k_usd_to_inf,injective-protocol_whale_transaction_count_100k_usd_to_inf,lido-dao_whale_transaction_count_100k_usd_to_inf,liquity_whale_transaction_count_100k_usd_to_inf,liquity-usd_whale_transaction_count_100k_usd_to_inf,loopring_whale_transaction_count_100k_usd_to_inf,magic-internet-money_whale_transaction_count_100k_usd_to_inf,maker_whale_transaction_count_100k_usd_to_inf,marlin_whale_transaction_count_100k_usd_to_inf,melon_whale_transaction_count_100k_usd_to_inf,olympus_whale_transaction_count_100k_usd_to_inf,orbs_whale_transaction_count_100k_usd_to_inf,orion-protocol_whale_transaction_count_100k_usd_to_inf,pendle_whale_transaction_count_100k_usd_to_inf,rocket-pool_whale_transaction_count_100k_usd_to_inf,spell-token_whale_transaction_count_100k_usd_to_inf,ssv-network_whale_transaction_count_100k_usd_to_inf,sushi_whale_transaction_count_100k_usd_to_inf,tellor_whale_transaction_count_100k_usd_to_inf,uma_whale_transaction_count_100k_usd_to_inf,uniswap_whale_transaction_count_100k_usd_to_inf,yearn-finance_whale_transaction_count_100k_usd_to_inf
2023-07-08 00:00:00+00:00,2.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,73.0,,3.0,15.0,3.0,0.0,21.0,2.0,6.0,1.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,39.0,6.0
2023-07-09 00:00:00+00:00,0.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,,3.0,14.0,7.0,17.0,13.0,2.0,9.0,1.0,2.0,7.0,13.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,3.0,,0.0,14.0,5.0
2023-07-10 00:00:00+00:00,2.0,2.0,37.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,98.0,,13.0,24.0,8.0,1.0,33.0,4.0,47.0,2.0,1.0,22.0,2.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,1.0,2.0,,0.0,26.0,5.0
2023-07-11 00:00:00+00:00,0.0,7.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,,6.0,31.0,11.0,8.0,22.0,5.0,16.0,1.0,8.0,10.0,6.0,1.0,8.0,1.0,,2.0,7.0,2.0,5.0,1.0,,,32.0,2.0
2023-07-12 00:00:00+00:00,0.0,8.0,41.0,,7.0,0.0,0.0,0.0,0.0,,45.0,1.0,19.0,10.0,6.0,11.0,7.0,2.0,24.0,0.0,1.0,13.0,2.0,0.0,16.0,0.0,,4.0,3.0,2.0,0.0,5.0,,3.0,33.0,2.0
2023-07-13 00:00:00+00:00,1.0,6.0,72.0,,0.0,1.0,1.0,0.0,0.0,,183.0,8.0,8.0,43.0,25.0,0.0,113.0,17.0,79.0,1.0,3.0,21.0,1.0,0.0,13.0,1.0,,4.0,3.0,2.0,1.0,7.0,,1.0,59.0,7.0
2023-07-14 00:00:00+00:00,3.0,18.0,106.0,,0.0,1.0,0.0,0.0,0.0,,160.0,2.0,27.0,37.0,18.0,4.0,136.0,39.0,34.0,4.0,6.0,14.0,1.0,0.0,5.0,0.0,,0.0,13.0,1.0,3.0,8.0,,1.0,68.0,4.0
2023-07-15 00:00:00+00:00,10.0,27.0,34.0,,0.0,0.0,0.0,,,,85.0,1.0,2.0,31.0,10.0,0.0,74.0,26.0,43.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,4.0,,0.0,21.0,1.0
2023-07-16 00:00:00+00:00,3.0,44.0,26.0,,0.0,1.0,0.0,,,,37.0,0.0,2.0,20.0,7.0,8.0,40.0,1.0,29.0,6.0,4.0,49.0,0.0,,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,23.0,1.0
2023-07-17 00:00:00+00:00,26.0,275.0,54.0,,,1.0,10.0,,,,62.0,0.0,7.0,18.0,10.0,26.0,57.0,5.0,38.0,2.0,4.0,11.0,0.0,,0.0,0.0,,4.0,15.0,0.0,0.0,30.0,,4.0,116.0,4.0
2023-07-18 00:00:00+00:00,6.0,35.0,57.0,,,0.0,3.0,,,,61.0,0.0,5.0,10.0,5.0,16.0,35.0,8.0,22.0,0.0,0.0,26.0,0.0,,0.0,,,3.0,11.0,0.0,1.0,9.0,,3.0,131.0,1.0
2023-07-19 00:00:00+00:00,4.0,115.0,36.0,2.0,6.0,1.0,1.0,,,,48.0,0.0,12.0,38.0,14.0,2.0,25.0,3.0,24.0,1.0,75.0,34.0,0.0,,6.0,,,5.0,21.0,,1.0,2.0,,0.0,52.0,2.0
2023-07-20 00:00:00+00:00,10.0,60.0,27.0,0.0,0.0,1.0,3.0,3.0,,,64.0,,11.0,36.0,8.0,4.0,42.0,6.0,13.0,2.0,11.0,30.0,2.0,,5.0,1.0,,0.0,21.0,,0.0,5.0,,0.0,54.0,3.0
2023-07-21 00:00:00+00:00,0.0,16.0,21.0,1.0,0.0,0.0,4.0,13.0,,,1022.0,,10.0,56.0,12.0,0.0,29.0,2.0,10.0,0.0,83.0,55.0,2.0,,0.0,0.0,,1.0,7.0,,0.0,6.0,,3.0,66.0,7.0
2023-07-22 00:00:00+00:00,0.0,12.0,10.0,0.0,0.0,2.0,2.0,0.0,,,157.0,,4.0,43.0,1.0,0.0,4.0,0.0,24.0,2.0,82.0,24.0,2.0,,0.0,0.0,,0.0,6.0,,0.0,7.0,,1.0,20.0,6.0
2023-07-23 00:00:00+00:00,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,,32.0,,2.0,24.0,2.0,4.0,25.0,2.0,17.0,0.0,34.0,21.0,2.0,,0.0,7.0,,0.0,2.0,2.0,2.0,1.0,,2.0,25.0,0.0
2023-07-24 00:00:00+00:00,3.0,37.0,34.0,0.0,,1.0,1.0,0.0,4.0,,51.0,3.0,3.0,32.0,5.0,13.0,19.0,2.0,28.0,0.0,14.0,31.0,3.0,,0.0,1.0,,3.0,9.0,1.0,3.0,1.0,,0.0,45.0,2.0
2023-07-25 00:00:00+00:00,1.0,3.0,22.0,0.0,,0.0,0.0,0.0,1.0,1.0,42.0,0.0,8.0,8.0,1.0,5.0,56.0,6.0,19.0,3.0,34.0,55.0,0.0,,1.0,1.0,,1.0,11.0,0.0,3.0,5.0,,6.0,28.0,1.0
2023-07-26 00:00:00+00:00,6.0,0.0,39.0,,5.0,1.0,0.0,,0.0,0.0,44.0,1.0,2.0,12.0,8.0,1.0,73.0,1.0,51.0,7.0,19.0,69.0,0.0,,2.0,0.0,,2.0,2.0,1.0,1.0,0.0,,0.0,24.0,2.0
2023-07-27 00:00:00+00:00,3.0,1.0,20.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,115.0,0.0,9.0,21.0,8.0,18.0,12.0,0.0,33.0,4.0,7.0,80.0,0.0,,0.0,0.0,,2.0,3.0,0.0,2.0,5.0,4.0,2.0,30.0,2.0
2023-07-28 00:00:00+00:00,3.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,3.0,20.0,7.0,3.0,24.0,7.0,12.0,1.0,11.0,47.0,0.0,,4.0,1.0,,1.0,4.0,0.0,3.0,8.0,0.0,13.0,34.0,3.0
