datetime,0x_amount_in_top_holders,1inch_amount_in_top_holders,aave_amount_in_top_holders,alchemix_amount_in_top_holders,ampleforth_amount_in_top_holders,api3_amount_in_top_holders,bancor_amount_in_top_holders,band-protocol_amount_in_top_holders,coin98_amount_in_top_holders,cow-protocol_amount_in_top_holders,crvusd_amount_in_top_holders,dia-data_amount_in_top_holders,dydx_amount_in_top_holders,frax_amount_in_top_holders,frax-share_amount_in_top_holders,injective-protocol_amount_in_top_holders,lido-dao_amount_in_top_holders,liquity_amount_in_top_holders,liquity-usd_amount_in_top_holders,loopring_amount_in_top_holders,magic-internet-money_amount_in_top_holders,maker_amount_in_top_holders,marlin_amount_in_top_holders,melon_amount_in_top_holders,olympus_amount_in_top_holders,orbs_amount_in_top_holders,orion-protocol_amount_in_top_holders,pendle_amount_in_top_holders,rocket-pool_amount_in_top_holders,spell-token_amount_in_top_holders,ssv-network_amount_in_top_holders,sushi_amount_in_top_holders,tellor_amount_in_top_holders,uma_amount_in_top_holders,uniswap_amount_in_top_holders,yearn-finance_amount_in_top_holders
2023-07-11 00:00:00+00:00,480560776.1531758,752156245.3635204,8913056.228,2009436.2465349191,53586306.49071445,101417131.47762774,96889056.4599054,85013272.94875173,231538841.44100893,941145369.514712,640865220.2402633,156562995.06607735,622937530.0019728,880481610.3612847,76100087.30390018,89338363.47966172,504537511.6029963,82805639.72,225045728.4,609191597.4206004,151289035.76062444,460292.52096548455,6545199972.535823,1407438.0443468362,26527490.645643916,9531968383.916716,113323260.54765896,138410806.8392781,31599194.46437361,96912837166.49432,7787213.864,126999626.59949112,3.4028236692093836e+20,91680964.52315868,523322660.4171433,15178.96001458407
2023-07-12 00:00:00+00:00,480559383.1531758,752455982.1618624,8924105.726185108,2011762.7232680968,53586306.49071445,101416624.85004532,97264803.9217688,85012860.51650122,231538841.44100893,940108955.7787094,639615267.7634221,156543202.96771008,621287447.8,880257823.7338356,76111589.17136778,89350475.37696172,505398082.2298692,83014853.96095596,225297354.03652984,608921441.0501615,171284166.65657756,460292.5348092213,6548457570.462192,1408781.8643468365,26477629.98437369,9531996712.0,113323260.54765896,138517607.03178227,31603404.76992371,95428062889.01526,7788031.821,126812424.1071912,3.4028236692093836e+20,91215595.56354012,523320660.4171433,15177.44130243032
2023-07-13 00:00:00+00:00,480559383.1531758,750462643.1386534,8933852.588,2012912.2618000817,53586306.49071445,101472066.89345635,97486900.64841108,85011911.31407598,231538841.44100893,940118254.704182,644218665.4,152539570.7123434,621131888.2534653,881268416.1520693,75861778.45854671,89357946.12606171,505398082.2298692,82932727.11273454,222646580.25460008,608286602.9301857,171212578.87940514,460282.5202570661,6576316604.751428,1408262.3843468365,26554422.281910695,9531968435.0,113323010.48129368,139679256.67998552,31607316.997579064,94637814987.62866,7785354.949643481,126846745.33364975,3.4028236692093836e+20,91219290.54263566,523319459.02628624,15186.112084003653
2023-07-14 00:00:00+00:00,478349785.67317575,748510798.4,8933223.955499412,2012399.5511429769,53586306.49071445,101468791.51514377,97624776.65546276,84950035.04129098,231521063.6610089,940149669.0100212,644686795.9957674,152654420.40470797,621011852.3769357,881723360.3708692,75807467.62937012,89383045.19345437,503898082.2298692,83138927.46298318,222081438.4896892,607785324.1,171180865.4701547,453989.0202570661,6600923179.923207,1408033.0053328362,26589613.557074316,9533667117.690063,113322431.9393844,139945768.9294045,31687903.55473916,94794691095.81674,7779387.233,126988547.88954829,3.4028236692093836e+20,91182810.04949576,523319059.02628624,15220.898396170778
2023-07-15 00:00:00+00:00,481457398.0754197,758085290.7,8947906.832822341,2011940.7442827488,53630890.31031901,101462071.1153524,98043003.65413617,84963771.77827516,231521063.6610089,940136814.3475692,645644674.3403407,152827754.96465597,620976138.7664248,882501265.2716162,75809745.35,89396278.95169264,502398082.2298692,83635422.46525899,223908663.7746003,607721703.4401879,170935656.50582057,454015.0768531441,6583410630.424897,1408033.0053328362,26588073.362282652,9531333318.940496,113323821.32492866,139913982.7830578,31688868.79526478,95017122734.5232,7781077.188,126969256.81784572,3.4028236692093836e+20,91185690.7,523319059.02628624,15197.062841659788
2023-07-16 00:00:00+00:00,476205035.58282113,745439478.1178863,8940791.395695217,2012461.430157532,53630890.31031901,101462314.92843564,98485431.71994284,84966035.12363721,231521063.6610089,939772864.2148083,645282158.2059106,152734592.38689336,620964433.2097815,883016904.6937851,75794998.18734251,89377148.81979264,502398082.2298692,83616835.90616414,224741014.29851183,608151965.3,171172547.28231847,469688.7134228533,6587076452.0,1408151.8863328362,26613018.724799823,9532158720.0,113323821.32492866,139865042.54295468,31692513.640496835,95026332180.0,7786487.378,126935240.73966306,3.4028236692093836e+20,91193917.75436176,523317459.02628624,15209.533678534372
2023-07-17 00:00:00+00:00,484655234.85391873,739677153.2317041,9084320.164,2010339.509256188,53630890.31031901,101461605.46072488,98614750.43574604,85014699.10602765,231521063.6610089,939595760.3010358,644844857.7013404,152830259.66281384,620906467.3,883488837.6911954,75758558.25714691,89166760.32979265,502398082.2298692,83416544.47967762,225376173.99279925,607720636.3806044,171186536.86461553,469671.54606039904,6589722957.548012,1408151.8863328362,26601377.850060795,9531229759.455511,113303287.14688498,139187550.5916099,31695641.311411355,94788879557.4612,7792148.291033402,126792548.4546712,3.4028236692093836e+20,91169328.00696976,523316659.02628624,15259.3000604579
2023-07-18 00:00:00+00:00,483359088.0742889,742832722.2529972,8873254.721854275,2011506.2040151933,53633662.51031901,101411035.7705966,98821784.41611686,85040605.94598708,231521063.6610089,939896723.6048304,640802883.9940791,152452428.16625234,620894416.5772879,881745543.6851046,75535907.73839532,89079783.87281898,502398082.2298692,83363293.31909266,227052564.0337737,607301232.5996798,171174934.11501965,469048.3850920625,6595155046.0,1408330.1499574662,26599367.80901306,9532143828.678576,113302207.49454008,139243002.73795086,31692185.607137572,94929033526.48164,7791055.883702402,126948172.8560268,3.4028236692093836e+20,91046986.45122284,523316259.02628624,15269.062170770809
2023-07-19 00:00:00+00:00,483359550.6142889,764230636.7726641,8875634.551402781,2029499.406636615,53633662.51031901,101408453.26657864,99451700.9,85080623.58,231520979.24995947,939791906.1195728,637552918.5146807,152510424.85830438,620880097.7709181,881798207.2021831,75509561.90122299,89104999.32481897,502449684.2298692,83268130.89065678,225058099.6896096,606912883.3268323,170003709.3316078,469062.0393820626,6589663938.2598505,1408330.1499574662,26592328.832866374,9532206765.151731,113303709.68268682,139463790.27368078,31707072.28439398,94981135562.0,7787571.463946982,126975492.60173872,3.4028236692093836e+20,91048541.54331088,523315459.02628624,15266.26236097749
2023-07-20 00:00:00+00:00,481382790.7415331,764581804.5739241,8930695.229177972,2028932.8363599423,53633662.51031901,101446810.65293564,99865338.5546528,84534450.60968256,231946395.1495214,939768190.8049296,640067709.1660708,152644550.68353298,620783959.4909134,871668554.1417469,74947902.42710605,89102041.77481897,502449684.2298692,84002883.72,225345051.10077655,606525727.5757332,170672479.8524075,465124.4644303704,6577110057.266404,1409028.6999574665,26603949.647103276,9526250819.665571,113305023.47056094,139223119.48511404,31567505.474929787,94838301278.0,7787287.3943464225,126918869.4041491,3.4028236692093836e+20,91077013.24,523315059.02628624,15308.705266296292
