datetime,chainlink_whale_transaction_volume_100k_usd_to_inf,uniswap_whale_transaction_volume_100k_usd_to_inf,dai_whale_transaction_volume_100k_usd_to_inf,aave_whale_transaction_volume_100k_usd_to_inf,ondo-finance_whale_transaction_volume_100k_usd_to_inf,ethena_whale_transaction_volume_100k_usd_to_inf,maker_whale_transaction_volume_100k_usd_to_inf,injective-protocol_whale_transaction_volume_100k_usd_to_inf,lido-dao_whale_transaction_volume_100k_usd_to_inf,raydium_whale_transaction_volume_100k_usd_to_inf,dexe_whale_transaction_volume_100k_usd_to_inf,pendle_whale_transaction_volume_100k_usd_to_inf,telcoin_whale_transaction_volume_100k_usd_to_inf,olympus_whale_transaction_volume_100k_usd_to_inf,1inch_whale_transaction_volume_100k_usd_to_inf,frax_whale_transaction_volume_100k_usd_to_inf,convex-finance_whale_transaction_volume_100k_usd_to_inf,0x_whale_transaction_volume_100k_usd_to_inf,frax-share_whale_transaction_volume_100k_usd_to_inf,stargate-finance_whale_transaction_volume_100k_usd_to_inf,yearn-finance_whale_transaction_volume_100k_usd_to_inf,crvusd_whale_transaction_volume_100k_usd_to_inf,sushi_whale_transaction_volume_100k_usd_to_inf,cow-protocol_whale_transaction_volume_100k_usd_to_inf,lcx_whale_transaction_volume_100k_usd_to_inf,band-protocol_whale_transaction_volume_100k_usd_to_inf,clearpool_whale_transaction_volume_100k_usd_to_inf,usual_whale_transaction_volume_100k_usd_to_inf,rocket-pool_whale_transaction_volume_100k_usd_to_inf,uma_whale_transaction_volume_100k_usd_to_inf,api3_whale_transaction_volume_100k_usd_to_inf,compound-ether_whale_transaction_volume_100k_usd_to_inf,spell-token_whale_transaction_volume_100k_usd_to_inf,orbs_whale_transaction_volume_100k_usd_to_inf,tellor_whale_transaction_volume_100k_usd_to_inf,marlin_whale_transaction_volume_100k_usd_to_inf,liquity_whale_transaction_volume_100k_usd_to_inf,pinlink_whale_transaction_volume_100k_usd_to_inf,numeraire_whale_transaction_volume_100k_usd_to_inf,ssv-network_whale_transaction_volume_100k_usd_to_inf,bancor_whale_transaction_volume_100k_usd_to_inf,balancer_whale_transaction_volume_100k_usd_to_inf,oraichain-token_whale_transaction_volume_100k_usd_to_inf,coin98_whale_transaction_volume_100k_usd_to_inf,dia-data_whale_transaction_volume_100k_usd_to_inf,tokenfi_whale_transaction_volume_100k_usd_to_inf,dodo_whale_transaction_volume_100k_usd_to_inf,magic-internet-money_whale_transaction_volume_100k_usd_to_inf,dydx_whale_transaction_volume_100k_usd_to_inf,kujira_whale_transaction_volume_100k_usd_to_inf,keep-network_whale_transaction_volume_100k_usd_to_inf,smardex_whale_transaction_volume_100k_usd_to_inf,messier_whale_transaction_volume_100k_usd_to_inf,hashflow_whale_transaction_volume_100k_usd_to_inf,renzo_whale_transaction_volume_100k_usd_to_inf,liquity-usd_whale_transaction_volume_100k_usd_to_inf,ampleforth_whale_transaction_volume_100k_usd_to_inf,wrapped-nxm_whale_transaction_volume_100k_usd_to_inf,whiteheart_whale_transaction_volume_100k_usd_to_inf,hegic_whale_transaction_volume_100k_usd_to_inf,insure_whale_transaction_volume_100k_usd_to_inf,compound-usd-coin_whale_transaction_volume_100k_usd_to_inf,paraswap_whale_transaction_volume_100k_usd_to_inf,orderly-network_whale_transaction_volume_100k_usd_to_inf,bella-protocol_whale_transaction_volume_100k_usd_to_inf,degate_whale_transaction_volume_100k_usd_to_inf,stafi_whale_transaction_volume_100k_usd_to_inf,unizen_whale_transaction_volume_100k_usd_to_inf,melon_whale_transaction_volume_100k_usd_to_inf,chainflip_whale_transaction_volume_100k_usd_to_inf,seth_whale_transaction_volume_100k_usd_to_inf,alchemix_whale_transaction_volume_100k_usd_to_inf,perpetual-protocol_whale_transaction_volume_100k_usd_to_inf,harvest-finance_whale_transaction_volume_100k_usd_to_inf,badger-dao_whale_transaction_volume_100k_usd_to_inf,stake-dao_whale_transaction_volume_100k_usd_to_inf,polkastarter_whale_transaction_volume_100k_usd_to_inf,synfutures_whale_transaction_volume_100k_usd_to_inf,lever_whale_transaction_volume_100k_usd_to_inf,quickswap_whale_transaction_volume_100k_usd_to_inf,ramp_whale_transaction_volume_100k_usd_to_inf,inverse-finance_whale_transaction_volume_100k_usd_to_inf,tokemak_whale_transaction_volume_100k_usd_to_inf,ribbon-finance_whale_transaction_volume_100k_usd_to_inf,cryptex-finance_whale_transaction_volume_100k_usd_to_inf,kryll_whale_transaction_volume_100k_usd_to_inf,orion-protocol_whale_transaction_volume_100k_usd_to_inf,aura-finance_whale_transaction_volume_100k_usd_to_inf,airswap_whale_transaction_volume_100k_usd_to_inf,trustswap_whale_transaction_volume_100k_usd_to_inf,morpho_whale_transaction_volume_100k_usd_to_inf,loopring_whale_transaction_volume_100k_usd_to_inf
2023-07-03 00:00:00+00:00,24732146.734620105,15392485.267405672,0,30561146.266963765,0,0,12389920.511751207,151504.57110242208,21195247.565085422,0,0,37747909.83501548,0,2854188.8072018526,944327.9564,13231130.869783422,8237948.475878009,145695.83989456954,5000824.318057802,3559250.5431102277,1385030.5401959894,34974513.381871976,132368.7985,0,0,0,0,,1217589.1916277942,154133.53176082362,107924.22360633883,0,775659.4024407696,676689.1312724875,0,0,0,,0,779309.0117,0,621586.0855267945,0,0,0,0,0,17789111.24762807,33216919.680613063,0,0,0,0,158280.49089739358,0,9205713.280656584,4005161.187655203,0,0,0,0,57844412.88,0,,0,0,0,0,0,0,541110.0177542204,0,332778.08504208596,4460414.410139618,404139.08805819775,0,0,,0,420606.8971,0,0,102498.83547789298,0,0,0,0,107792.30792389631,0,0,0,1068326.4151824098
2023-07-04 00:00:00+00:00,23619616.019502755,12772203.493564846,0,27891496.09633876,0,0,7212753.836632903,117088.59029738029,7009334.831265557,0,0,3878168.2128180834,0,3574969.8432386415,3027384.187928749,11124765.036133913,7030957.415483855,0,4386128.617598857,6043109.778888182,750886.0713956438,181880397.6489297,0,0,0,0,0,,5431173.820328249,0,0,0,182670.74534016015,1176088.6413120152,336254.3252048806,0,109351.57262933772,,319863.9879700289,844646.5924250607,0,2257383.269658812,0,0,0,0,0,4590956.349377515,7163500.1196294855,0,0,3050850.541739856,0,472277.3453725092,0,3434371.9572595186,0,0,0,0,0,2083814.8410948894,0,,0,0,0,0,0,0,0,1553202.7546554084,0,4624844.297837427,0,0,0,,0,0,0,0,0,128850.49644370312,0,0,0,0,0,0,0,395854.06052445306
2023-07-05 00:00:00+00:00,23856806.43741244,43326971.893223144,0,50490242.118435316,0,0,10470530.098479882,434355.66944544803,8459892.856742194,0,0,1653660.1063107792,0,0,3779682.5954101277,4138951.877358789,1261679.498564823,2970400.1002205275,2097477.2084303214,655363.2397020992,1946816.0652073338,38536764.833623335,1204948.5009731834,0,0,1237655.5312190128,0,,11473187.038308198,214734.15931042793,107128.76113691756,0,401899.6584130943,0,0,0,938929.9150073527,,0,0,858372.2047005892,119722.84629338502,0,0,0,0,0,1125480.9403457383,6686742.584866524,0,0,385202.5502334017,0,4578133.900333774,0,4256286.855207654,1346487.4519981612,0,0,0,0,12827071.324397014,0,,204129.7539325035,154594.12083223663,0,0,0,0,1465818.1284432237,1743221.848,2436683.634352538,0,0,0,0,,0,0,0,2721329.819387493,0,0,0,0,0,134005.44899338574,0,0,0,1556659.8843270915
2023-07-06 00:00:00+00:00,25477113.04843153,5556853.262,0,43759917.67868176,0,0,19429158.199740276,7064441.704650607,9329757.701,0,476779.44546500844,4497305.488924055,0,2704807.035316679,0,14429602.67044807,16903410.409930333,1317840.4191443087,7428886.912035134,6369886.429267529,2620523.629985452,32060599.45778801,506048.29098597553,0,0,210727.43270977424,0,,16550342.59493555,196360.27627333291,102320.73132185705,0,148448.67775958253,306105.3576074773,0,106572.93403532486,332484.27387092303,,0,0,0,390232.01552768366,0,0,0,0,0,2303922.865931023,9223990.873046106,0,0,0,0,128823.16236268888,0,37526253.55,1179589.3195531205,0,0,0,0,2245552.9536349643,212856.86530790653,,0,0,0,0,106816.11426456478,0,0,0,101280.90499453648,0,0,0,0,,0,0,0,0,106487.74455171733,0,0,0,307686.1940956745,109274.60438716074,0,794039.0645490161,0,3085171.609208459
2023-07-07 00:00:00+00:00,59543692.43633684,23973636.12693139,0,12808892.729446847,0,0,5323689.809623514,0,3710487.3004337875,0,0,117764.01177660885,0,971292.4663631803,730899.3595607064,12642498.622437958,8969499.937744688,0,7624272.081630895,1970602.658589955,2480168.059258644,25803597.822581302,298960.2250293335,102572.78696161504,0,180881.32998096623,0,,11675487.446997596,0,0,0,0,240334.76762801272,0,0,1111826.9117145012,,0,173340.8117866543,0,381544.3184,0,0,0,0,0,49619040.55197182,5699467.186,0,1663931.2053431284,0,0,310177.20526277507,0,3720793.4304296994,2245334.1323414515,0,0,0,0,6877508.702,0,,0,0,0,0,0,0,0,1080570.3016513104,403649.3623931634,0,0,0,0,,0,0,0,862137.3528641842,0,0,0,0,0,0,0,0,0,824113.8799288648
2023-07-08 00:00:00+00:00,8521859.700903773,16427267.22972701,0,5538264.026413854,0,0,1714490.0704652565,0,7593964.752885583,0,0,402079.5348847055,0,201020.4727172692,269711.3845785531,6860246.849874776,0,368711.8612300153,5138026.056944201,226876.6374,2715699.779769641,37754151.728105016,492253.35007418715,0,0,0,0,,690490.2951824358,0,0,0,0,0,0,213421.63830343375,296781.1998034535,,0,651341.7512909034,0,0,0,663100.6239268355,0,0,0,0,1326638.6831649889,0,0,0,0,0,0,665832.4190832948,0,0,0,0,0,8231595.004663339,0,,0,0,0,0,0,0,0,0,128293.46255326328,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,140482.2824886362
2023-07-09 00:00:00+00:00,6348617.730225192,4273692.298265235,0,3474111.76,0,0,1351325.0196205287,6456102.915019867,9985096.134556597,0,0,1037685.4527291718,0,0,637354.5573105791,12032555.203224799,3752434.5593101354,0,1936124.0582311205,0,1802763.5130756844,12406610.519775698,764966.2869512108,0,0,0,0,,2061233.0083829206,0,0,0,0,0,0,5872539.4505433785,315844.18322802504,,0,0,251640.33095476497,0,0,0,0,0,0,207982.48333950454,334633.8158602216,0,0,0,0,0,0,3255408.953536327,0,0,0,0,0,1609280.6668758679,0,,0,148189.51292972916,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,997875.5543900192,0,0,0,0,0,207768.19268926274,0,1105835.468600182
2023-07-10 00:00:00+00:00,21116141.65,7145772.211,0,19176764.022950694,0,0,30619173.26508153,159841.4903994803,7954921.394,0,0,0,0,318454.64529725246,380671.4734346283,17900895.92470645,4181823.998549249,318452.7235402968,1372986.3391615837,5073353.720740725,753214.7607317212,86067799.52990451,237393.87298123055,0,0,108120.19447667472,0,,5945438.172814828,0,133788.21966274737,0,0,309330.0065542411,0,1910699.507679075,1538834.792,,0,163816.5862811113,0,7117690.521603406,0,797525.8083312928,0,0,0,247618.32513147208,6061929.230752451,0,0,0,0,0,0,18802771.359393455,0,0,0,0,0,1091334.9893416283,0,,0,638171.7166145816,0,0,0,0,1532515.2707669514,0,0,14104166.445149552,0,0,0,,0,205801.55096092916,0,233445.15792062093,0,0,0,0,0,0,0,247898.20256739168,0,835900.9509275731
2023-07-11 00:00:00+00:00,31992591.280217566,8630709.809,0,12704237.124292256,0,0,17096585.365951154,2500951.117476152,8032428.999724506,0,0,433483.1205881419,0,2217781.574785295,1551817.644338295,6310091.121207324,3117923.710054534,0,4556159.354746244,467275.5329900319,523415.4718520183,15056452.395080145,216807.21636637082,0,0,0,102304.6894299426,,1213948.1146491684,0,0,0,438211.1229536546,453409.6772829207,0,1353236.892287493,947626.8187547729,,1210323.4012663718,1572308.9917613808,123159.6059,249336.3994105191,0,0,0,0,0,1325227.547726612,2323699.974,0,0,329849.27750103764,0,0,0,3923209.8321890123,0,0,0,0,0,5768650.1005481295,0,,0,0,0,0,5572700.6752020335,0,0,0,0,19665847.254082765,0,384851.4884344747,0,,0,117585.36120608899,0,0,0,0,0,0,0,168114.5084657632,0,0,0,129389.60157992072
2023-07-12 00:00:00+00:00,50054694.23911916,8634729.679445479,0,19172731.78506125,0,0,18207691.898644045,3033346.459611724,2766525.214894591,0,0,975936.1054077569,0,2824705.8683257657,1730320.7622550637,2824731.7762934077,842892.1654756048,0,866983.9556722657,1182012.912404946,1334078.9302381228,14610187.642205952,1784670.3543802695,0,208431.91041959944,0,0,,401117.79320066306,1337144.2659292587,0,0,765378.8335251391,0,0,466812.7878550887,220636.27001020356,,0,0,0,452574.28067233646,0,0,15754210.12866484,0,0,19825828.60815893,7904787.039014818,0,0,1026670.1329927437,0,0,0,4790811.001569558,5448458.099,0,0,0,0,24788353.246868394,0,,211629.61114693526,0,0,0,0,0,691954.4105,0,332990.7530111517,0,0,0,0,,0,0,0,0,0,0,0,0,0,8012726.048334494,0,157235.5503351195,0,0
2023-07-13 00:00:00+00:00,109268108.48716448,226190239.42775628,0,30584111.118264362,0,0,13596116.588595452,0,35880467.669801556,0,0,1799576.2399568756,0,2191237.0711358017,3847671.7948975745,13554189.815259866,1858511.6272798874,1917448.7132992633,10191024.419939816,4100757.8886479544,1166888.6100729047,75201977.34905492,1062313.270893081,0,768907.8186161616,0,0,,461237.7827350968,170262.89178476876,538774.1299213751,0,533528.1941521729,555097.9008579375,0,202760.4751241583,2885723.1608747616,,2210731.009610065,167654.12823853627,521722.19336971996,0,0,0,2903217.303663774,0,0,8080657.510144627,3986501.0418959777,0,0,1392997.7180810038,0,0,0,22769319.052513357,0,0,0,0,0,19237990.805631794,0,,666133.3627672023,147918.52098226795,0,0,0,0,1476047.704122446,0,0,9348858.035986805,0,0,0,,0,881675.3962000541,0,0,0,3767750.424584629,0,0,0,339042.4700616689,0,0,0,127162.12742387253
2023-07-14 00:00:00+00:00,123974106.02938038,22090434.276066374,0,34983489.30979823,0,0,10680143.75201435,1966407.4487175455,60228370.33597387,0,0,0,0,971374.9781973262,3478262.2765198215,10141588.125683863,4662745.246688694,733170.7931008036,5718097.5603830945,854193.9200946218,1620930.835929107,114671704.36522014,1233868.0120689939,0,0,0,104309.52179727738,,13161574.270668585,144861.09727809293,109252.11318315187,0,140867.2413905615,0,0,111546.20149074504,13655873.23305573,,105142.92064835715,710623.4309656605,0,671854.2997804941,0,0,386845.1996155502,0,0,1250476.8963701408,17132614.495605603,0,399638.1229346971,1985290.0069371555,0,0,0,10288523.410610836,0,0,0,0,0,7044354.698208467,0,,0,0,0,0,0,0,587347.2873527606,0,0,0,0,0,0,,0,0,0,1797274.626315047,0,0,0,0,0,0,0,0,0,933172.0441709966
2023-07-15 00:00:00+00:00,46711843.147691704,9165670.087175008,0,25929502.64176739,0,0,825492.9574982604,0,44459681.31064691,0,0,0,0,0,6955726.203,6539522.975076758,1299986.2778288794,1689333.1748525903,1383975.728901744,0,140074.81542023833,41353319.67091594,651894.0036037031,0,0,0,0,,102490.61831012566,0,0,0,0,0,0,423449.98636278795,25224994.18605829,,904511.5410896803,0,0,0,0,0,120191.9030563485,0,148673.47742617136,747904.9070425708,723359.8669726694,0,0,106176.0751544399,0,0,0,12449584.560437422,0,0,0,0,0,5720010.997849225,0,,0,0,0,0,0,0,262075.29570777298,0,0,4662574.959144555,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,171218.6451670963
