datetime,chainlink_whale_transaction_volume_100k_usd_to_inf,uniswap_whale_transaction_volume_100k_usd_to_inf,aave_whale_transaction_volume_100k_usd_to_inf,ondo-finance_whale_transaction_volume_100k_usd_to_inf,ethena_whale_transaction_volume_100k_usd_to_inf,maker_whale_transaction_volume_100k_usd_to_inf,injective-protocol_whale_transaction_volume_100k_usd_to_inf,lido-dao_whale_transaction_volume_100k_usd_to_inf,pendle_whale_transaction_volume_100k_usd_to_inf,olympus_whale_transaction_volume_100k_usd_to_inf,1inch_whale_transaction_volume_100k_usd_to_inf,frax_whale_transaction_volume_100k_usd_to_inf,convex-finance_whale_transaction_volume_100k_usd_to_inf,0x_whale_transaction_volume_100k_usd_to_inf,frax-share_whale_transaction_volume_100k_usd_to_inf,stargate-finance_whale_transaction_volume_100k_usd_to_inf,yearn-finance_whale_transaction_volume_100k_usd_to_inf,crvusd_whale_transaction_volume_100k_usd_to_inf,sushi_whale_transaction_volume_100k_usd_to_inf,cow-protocol_whale_transaction_volume_100k_usd_to_inf,lcx_whale_transaction_volume_100k_usd_to_inf,band-protocol_whale_transaction_volume_100k_usd_to_inf,clearpool_whale_transaction_volume_100k_usd_to_inf,rocket-pool_whale_transaction_volume_100k_usd_to_inf,uma_whale_transaction_volume_100k_usd_to_inf,api3_whale_transaction_volume_100k_usd_to_inf,spell-token_whale_transaction_volume_100k_usd_to_inf,orbs_whale_transaction_volume_100k_usd_to_inf,tellor_whale_transaction_volume_100k_usd_to_inf,marlin_whale_transaction_volume_100k_usd_to_inf,liquity_whale_transaction_volume_100k_usd_to_inf,numeraire_whale_transaction_volume_100k_usd_to_inf,ssv-network_whale_transaction_volume_100k_usd_to_inf,bancor_whale_transaction_volume_100k_usd_to_inf,balancer_whale_transaction_volume_100k_usd_to_inf,coin98_whale_transaction_volume_100k_usd_to_inf,dia-data_whale_transaction_volume_100k_usd_to_inf,tokenfi_whale_transaction_volume_100k_usd_to_inf,magic-internet-money_whale_transaction_volume_100k_usd_to_inf,dydx_whale_transaction_volume_100k_usd_to_inf,smardex_whale_transaction_volume_100k_usd_to_inf,hashflow_whale_transaction_volume_100k_usd_to_inf,renzo_whale_transaction_volume_100k_usd_to_inf,liquity-usd_whale_transaction_volume_100k_usd_to_inf,ampleforth_whale_transaction_volume_100k_usd_to_inf,orderly-network_whale_transaction_volume_100k_usd_to_inf,melon_whale_transaction_volume_100k_usd_to_inf,chainflip_whale_transaction_volume_100k_usd_to_inf,seth_whale_transaction_volume_100k_usd_to_inf,alchemix_whale_transaction_volume_100k_usd_to_inf,perpetual-protocol_whale_transaction_volume_100k_usd_to_inf,harvest-finance_whale_transaction_volume_100k_usd_to_inf,badger-dao_whale_transaction_volume_100k_usd_to_inf,synfutures_whale_transaction_volume_100k_usd_to_inf,lever_whale_transaction_volume_100k_usd_to_inf,ribbon-finance_whale_transaction_volume_100k_usd_to_inf,orion-protocol_whale_transaction_volume_100k_usd_to_inf,loopring_whale_transaction_volume_100k_usd_to_inf
2023-06-23 00:00:00+00:00,31898310.639319427,20940068.985234126,12572219.823053123,0.0,0.0,38368181.94207539,951455.8818994636,9941713.538510436,486710.3983542204,214178.02110608085,940151.728,3686992.152283528,8236729.260981963,0.0,4539801.989685071,1306009.2718737854,798625.1578142646,0.0,7340451.857942555,0.0,0.0,0.0,0.0,24339834.849936888,0.0,331800.15059812425,592342.6593886872,0.0,0.0,0.0,621995.6983562412,868935.4150117154,182308.0146830998,1021670.5147439848,0.0,7668092.759354794,0.0,0.0,496208.6250438505,8153744.710346811,0.0,0.0,0.0,6565195.964791173,0.0,,0.0,0.0,0.0,0.0,0.0,17708648.311054215,0.0,,0.0,0.0,0.0,291525.6892902624
2023-06-24 00:00:00+00:00,14909276.87536474,14038323.971974917,1431459.356304396,0.0,0.0,6553239.343637603,0.0,5477275.797193874,128470.70565421131,126742.96534213996,991296.4787530706,7915977.327571382,7623942.983418825,0.0,949132.3844579788,787422.0335142903,0.0,0.0,891547.5429369422,0.0,0.0,0.0,0.0,930710.2794253957,346818.7396169986,0.0,405410.2405082287,0.0,0.0,0.0,128693.7855579095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7044417.744,317839.59800574556,0.0,0.0,0.0,16483588.471742611,0.0,,153999.5783402839,0.0,512788.20866536576,755127.9816859732,0.0,14013470.752103657,0.0,,0.0,0.0,0.0,7820906.317008557
2023-06-25 00:00:00+00:00,16743787.439513478,33036030.578442104,105388431.08754158,0.0,0.0,0.0,0.0,6547076.386397494,751508.1305684656,756519.9507734636,971348.2653278932,13688281.240332313,6450923.539310897,1022638.0813999572,1399626.8782408005,2255296.1836250005,1289532.1509712634,0.0,1884194.1232541064,0.0,0.0,0.0,0.0,7527691.857206817,347831.7771550013,0.0,0.0,312005.4991598291,0.0,0.0,497362.5375667872,0.0,102858.94275317428,0.0,1387486.4302129922,0.0,0.0,0.0,0.0,687786.6481852161,0.0,0.0,0.0,3646530.2252948824,139713.62220925378,,0.0,0.0,210617.10500084393,0.0,0.0,27803969.88805686,0.0,,0.0,152883.26048735826,0.0,377012.8056500927
2023-06-26 00:00:00+00:00,38893570.67573797,32468150.291920435,78366428.66876544,0.0,0.0,3797048.656214967,1900505.085782017,4754407.171731579,517489.3452551079,3795303.642,4731806.344072577,12113304.641527517,2244066.8599904897,342794.2207149964,30678080.327710003,3475704.4212028775,154019.48423812006,0.0,10266526.401687304,0.0,261484.74132098723,0.0,0.0,4549720.668,238534.0732115758,127649.92845904524,0.0,0.0,0.0,0.0,123803.92772748807,0.0,461732.2445,0.0,1099218.2063748585,122355.74900560048,508003.21424474625,0.0,0.0,2143380.7444522846,0.0,0.0,0.0,10956025.793004625,4277463.566272059,,0.0,0.0,0.0,0.0,109782.5732934598,4534520.297,0.0,,0.0,0.0,0.0,304237.0153280658
2023-06-27 00:00:00+00:00,30291739.58759031,48548035.73661891,39937486.923718624,,,24986774.014653925,149546.01794592134,26431470.146410305,3564068.434401816,2659618.6317138574,216794.93415474205,16555691.649389308,1601304.5348065733,0.0,3139186.9846643936,136076.76855321883,2252801.6287041493,,0.0,,0.0,,,537326.2019723391,0.0,0.0,102135.45363637364,306324.7962588663,210927.6557508368,,0.0,0.0,0.0,140404.18287885378,280503.03368405876,0.0,0.0,,0.0,4610399.209828683,143822.1834724944,361709.98759695666,,9101509.46,0.0,,0.0,,0.0,0.0,0.0,23004071.841898132,,,,0.0,738915.8272,0.0
2023-06-28 00:00:00+00:00,258647023.26978976,46837837.51279775,25390681.523262925,,,2884033.8863367834,0.0,6257173.191069096,1627897.2230755193,6448681.916990153,8174262.864959137,5903020.011430461,4599405.309213137,3046716.843659003,5720498.115516433,2436467.0202913727,2214960.0269874367,9723102.156,8713000.246080631,,0.0,,190342.7666686448,1504865.498345215,0.0,205052.60662512472,2184937.9622030305,0.0,0.0,1451784.0797915114,516127.30631418206,876568.5930140885,0.0,971306.0400233231,3509739.8380070818,0.0,3370017.765700477,,359902.70390617143,2474691.8759262436,21821780.141508184,9548221.205605228,,28647290.58079264,1334718.3825815148,,0.0,,0.0,0.0,4739077.969748685,4356740.564753648,,,2621889.2911409764,147514.42034514836,0.0,774342.1861167257
2023-06-29 00:00:00+00:00,67298889.68514515,13392210.303395107,10553199.153542932,,,4021369.361540547,400943.2562336413,22947544.77431761,312269.0143683411,679166.5011735971,2658945.067237067,13431652.483088275,9252718.845,710223.3058895048,927914.9982,3382557.455367027,2180922.488963792,32939876.188800927,259065.4849658561,,0.0,,0.0,181448.5732718765,0.0,105824.17440020671,0.0,297106.6942874297,0.0,0.0,2244092.631652971,0.0,0.0,283040.49546795094,0.0,518149.4869243392,0.0,,1037720.2666946836,490354.4608702044,135160.34097351204,0.0,,37115751.16219133,0.0,,,,0.0,,2448014.112610144,0.0,200386.09761930825,,0.0,692785.5959637127,0.0,929423.8059347328
2023-06-30 00:00:00+00:00,63402089.01151544,12368738.134345854,31523924.55454764,,,19978207.056965616,241358.19645523463,19346399.01020426,2063417.7451861256,1291670.2734023998,366050.688,21435311.817225587,4373405.82,586877.1760491345,2735525.327117289,1499119.446873119,824038.3963,18172391.89601843,995086.5056721164,,0.0,,0.0,3336802.1733454233,0.0,150270.1713,178632.7084995019,0.0,0.0,0.0,4292936.929,0.0,191990.05017524603,0.0,346172.31296981545,0.0,0.0,,782960.2239141931,5027035.160045289,0.0,0.0,,24014367.428758968,0.0,,,,,,0.0,8866346.332,0.0,,0.0,0.0,0.0,569879.308
2023-07-01 00:00:00+00:00,20412885.784272872,5429922.557379158,7679426.421784129,,,2811869.7237789244,0.0,6521527.795226242,103461.55755215853,612779.8546516063,0.0,6605418.511845098,621125.4457993734,0.0,0.0,1018540.3031949432,441671.06559674675,22330916.897564992,243930.08504020935,,,,0.0,8062845.057055613,190283.42183001817,0.0,0.0,0.0,0.0,0.0,2257277.322900815,886501.9439475309,0.0,0.0,1187328.8979058657,0.0,0.0,,1286114.013517988,415194.2286594567,0.0,0.0,,14957432.975836618,0.0,,,,,,214510.1918305987,0.0,0.0,,0.0,0.0,0.0,0.0
2023-07-02 00:00:00+00:00,18730973.200134806,23863309.045342986,13575287.079439748,,,2245306.080221307,108129.73877845364,7059274.062245722,470641.81931885326,0.0,264630.4981853454,4137583.218376279,206065.45608437888,0.0,1155793.3966731688,0.0,910307.4467770736,17890788.293464027,331306.7923433638,,,,0.0,15947037.216159662,359731.4275502702,0.0,100685.24539501908,0.0,,0.0,104220.53474539552,887876.8505300852,577926.2717899363,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,6993793.4250095915,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,146159.74402412042
