datetime,chainlink_whale_transaction_count_100k_usd_to_inf,uniswap_whale_transaction_count_100k_usd_to_inf,aave_whale_transaction_count_100k_usd_to_inf,ondo-finance_whale_transaction_count_100k_usd_to_inf,ethena_whale_transaction_count_100k_usd_to_inf,maker_whale_transaction_count_100k_usd_to_inf,injective-protocol_whale_transaction_count_100k_usd_to_inf,lido-dao_whale_transaction_count_100k_usd_to_inf,pendle_whale_transaction_count_100k_usd_to_inf,olympus_whale_transaction_count_100k_usd_to_inf,1inch_whale_transaction_count_100k_usd_to_inf,frax_whale_transaction_count_100k_usd_to_inf,convex-finance_whale_transaction_count_100k_usd_to_inf,0x_whale_transaction_count_100k_usd_to_inf,frax-share_whale_transaction_count_100k_usd_to_inf,stargate-finance_whale_transaction_count_100k_usd_to_inf,yearn-finance_whale_transaction_count_100k_usd_to_inf,crvusd_whale_transaction_count_100k_usd_to_inf,sushi_whale_transaction_count_100k_usd_to_inf,cow-protocol_whale_transaction_count_100k_usd_to_inf,loopring_whale_transaction_count_100k_usd_to_inf,lcx_whale_transaction_count_100k_usd_to_inf,band-protocol_whale_transaction_count_100k_usd_to_inf,clearpool_whale_transaction_count_100k_usd_to_inf,rocket-pool_whale_transaction_count_100k_usd_to_inf,uma_whale_transaction_count_100k_usd_to_inf,api3_whale_transaction_count_100k_usd_to_inf,spell-token_whale_transaction_count_100k_usd_to_inf,orbs_whale_transaction_count_100k_usd_to_inf,tellor_whale_transaction_count_100k_usd_to_inf,marlin_whale_transaction_count_100k_usd_to_inf,liquity_whale_transaction_count_100k_usd_to_inf,numeraire_whale_transaction_count_100k_usd_to_inf,ssv-network_whale_transaction_count_100k_usd_to_inf,bancor_whale_transaction_count_100k_usd_to_inf,balancer_whale_transaction_count_100k_usd_to_inf,coin98_whale_transaction_count_100k_usd_to_inf,dia-data_whale_transaction_count_100k_usd_to_inf,tokenfi_whale_transaction_count_100k_usd_to_inf,magic-internet-money_whale_transaction_count_100k_usd_to_inf,dydx_whale_transaction_count_100k_usd_to_inf,smardex_whale_transaction_count_100k_usd_to_inf,hashflow_whale_transaction_count_100k_usd_to_inf,renzo_whale_transaction_count_100k_usd_to_inf,liquity-usd_whale_transaction_count_100k_usd_to_inf,ampleforth_whale_transaction_count_100k_usd_to_inf,orderly-network_whale_transaction_count_100k_usd_to_inf,melon_whale_transaction_count_100k_usd_to_inf,chainflip_whale_transaction_count_100k_usd_to_inf,seth_whale_transaction_count_100k_usd_to_inf,alchemix_whale_transaction_count_100k_usd_to_inf,perpetual-protocol_whale_transaction_count_100k_usd_to_inf,harvest-finance_whale_transaction_count_100k_usd_to_inf,badger-dao_whale_transaction_count_100k_usd_to_inf,synfutures_whale_transaction_count_100k_usd_to_inf,lever_whale_transaction_count_100k_usd_to_inf,ribbon-finance_whale_transaction_count_100k_usd_to_inf,orion-protocol_whale_transaction_count_100k_usd_to_inf
2023-06-23 00:00:00+00:00,97.0,36.0,22.0,0.0,0.0,10.0,2.0,16.0,1.0,2.0,3.0,21.0,10.0,0.0,15.0,6.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,13.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0
2023-06-24 00:00:00+00:00,62.0,19.0,7.0,0.0,0.0,7.0,0.0,22.0,1.0,1.0,5.0,21.0,13.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,37.0,0.0,,1.0,0.0,2.0,2.0,0.0,8.0,0.0,,0.0,0.0,0.0
2023-06-25 00:00:00+00:00,43.0,99.0,321.0,0.0,0.0,0.0,0.0,21.0,3.0,3.0,4.0,32.0,4.0,3.0,6.0,7.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,1.0,,0.0,0.0,2.0,0.0,0.0,16.0,0.0,,0.0,1.0,0.0
2023-06-26 00:00:00+00:00,71.0,65.0,143.0,0.0,0.0,8.0,5.0,17.0,1.0,18.0,7.0,56.0,8.0,1.0,24.0,5.0,1.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,47.0,5.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0
2023-06-27 00:00:00+00:00,91.0,46.0,52.0,,,31.0,1.0,58.0,2.0,7.0,2.0,38.0,9.0,0.0,10.0,1.0,5.0,,0.0,,0.0,0.0,,,4.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,0.0,12.0,1.0,2.0,,31.0,0.0,,0.0,,0.0,0.0,0.0,14.0,,,,0.0,4.0
2023-06-28 00:00:00+00:00,138.0,68.0,40.0,,,7.0,0.0,26.0,3.0,21.0,5.0,27.0,9.0,5.0,5.0,8.0,5.0,34.0,2.0,,5.0,0.0,,1.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,2.0,,3.0,2.0,24.0,1.0,,60.0,2.0,,0.0,,0.0,0.0,1.0,2.0,,,1.0,1.0,0.0
2023-06-29 00:00:00+00:00,126.0,29.0,42.0,,,12.0,2.0,42.0,2.0,3.0,6.0,35.0,30.0,2.0,3.0,9.0,4.0,99.0,2.0,,4.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,,2.0,2.0,1.0,0.0,,41.0,0.0,,,,0.0,,1.0,0.0,2.0,,0.0,2.0,0.0
2023-06-30 00:00:00+00:00,149.0,47.0,117.0,,,39.0,1.0,64.0,8.0,8.0,2.0,46.0,20.0,1.0,17.0,8.0,3.0,59.0,7.0,,3.0,0.0,,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,2.0,0.0,0.0,,3.0,12.0,0.0,0.0,,55.0,0.0,,,,,,0.0,4.0,0.0,,0.0,0.0,0.0
2023-07-01 00:00:00+00:00,70.0,26.0,26.0,,,8.0,0.0,23.0,1.0,5.0,0.0,30.0,4.0,0.0,0.0,5.0,3.0,70.0,2.0,,0.0,,,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,0.0,0.0,,3.0,4.0,0.0,0.0,,41.0,0.0,,,,,,2.0,0.0,0.0,,0.0,0.0,0.0
2023-07-02 00:00:00+00:00,38.0,21.0,38.0,,,5.0,1.0,28.0,1.0,0.0,1.0,16.0,2.0,0.0,5.0,0.0,6.0,78.0,3.0,,1.0,,,0.0,15.0,1.0,0.0,1.0,0.0,,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,26.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,
