datetime,chainlink_sentiment_weighted_total_1d,hyperliquid_sentiment_weighted_total_1d,uniswap_sentiment_weighted_total_1d,aave_sentiment_weighted_total_1d,ondo-finance_sentiment_weighted_total_1d,ethereum-classic_sentiment_weighted_total_1d,ethena_sentiment_weighted_total_1d,maker_sentiment_weighted_total_1d,injective-protocol_sentiment_weighted_total_1d,lido-dao_sentiment_weighted_total_1d,raydium_sentiment_weighted_total_1d,dexe_sentiment_weighted_total_1d,pyth-network_sentiment_weighted_total_1d,pendle_sentiment_weighted_total_1d,aerodrome-finance_sentiment_weighted_total_1d,thorchain_sentiment_weighted_total_1d,telcoin_sentiment_weighted_total_1d,dydx-chain_sentiment_weighted_total_1d,morpho_sentiment_weighted_total_1d,just_sentiment_weighted_total_1d,sun-token_sentiment_weighted_total_1d,olympus_sentiment_weighted_total_1d,1inch_sentiment_weighted_total_1d,frax_sentiment_weighted_total_1d,convex-finance_sentiment_weighted_total_1d,ether-fi_sentiment_weighted_total_1d,0x_sentiment_weighted_total_1d,solayer_sentiment_weighted_total_1d,frax-share_sentiment_weighted_total_1d,stargate-finance_sentiment_weighted_total_1d,yearn-finance_sentiment_weighted_total_1d,babylon_sentiment_weighted_total_1d,solana-swap_sentiment_weighted_total_1d,osmosis_sentiment_weighted_total_1d,crvusd_sentiment_weighted_total_1d,orca_sentiment_weighted_total_1d,sushi_sentiment_weighted_total_1d,cow-protocol_sentiment_weighted_total_1d,cetus-protocol_sentiment_weighted_total_1d,loopring_sentiment_weighted_total_1d,lcx_sentiment_weighted_total_1d,band-protocol_sentiment_weighted_total_1d,zebec-network_sentiment_weighted_total_1d,clearpool_sentiment_weighted_total_1d,usual_sentiment_weighted_total_1d,rocket-pool_sentiment_weighted_total_1d,vvs-finance_sentiment_weighted_total_1d,uma_sentiment_weighted_total_1d,venus_sentiment_weighted_total_1d,moonwell-artemis_sentiment_weighted_total_1d,api3_sentiment_weighted_total_1d,velo_sentiment_weighted_total_1d,compound-ether_sentiment_weighted_total_1d,spell-token_sentiment_weighted_total_1d,orbs_sentiment_weighted_total_1d,tellor_sentiment_weighted_total_1d,marlin_sentiment_weighted_total_1d,liquity_sentiment_weighted_total_1d,pinlink_sentiment_weighted_total_1d,numeraire_sentiment_weighted_total_1d,bonfida_sentiment_weighted_total_1d,ssv-network_sentiment_weighted_total_1d,bancor_sentiment_weighted_total_1d,balancer_sentiment_weighted_total_1d,oraichain-token_sentiment_weighted_total_1d,coin98_sentiment_weighted_total_1d,dia-data_sentiment_weighted_total_1d,tokenfi_sentiment_weighted_total_1d,dodo_sentiment_weighted_total_1d,magic-internet-money_sentiment_weighted_total_1d,dydx_sentiment_weighted_total_1d,kujira_sentiment_weighted_total_1d,keep-network_sentiment_weighted_total_1d,smardex_sentiment_weighted_total_1d,messier_sentiment_weighted_total_1d,hashflow_sentiment_weighted_total_1d,renzo_sentiment_weighted_total_1d,strike_sentiment_weighted_total_1d,acala_sentiment_weighted_total_1d,liquity-usd_sentiment_weighted_total_1d,parcl_sentiment_weighted_total_1d,ampleforth_sentiment_weighted_total_1d,wrapped-nxm_sentiment_weighted_total_1d,whiteheart_sentiment_weighted_total_1d,minswap_sentiment_weighted_total_1d,hegic_sentiment_weighted_total_1d,insure_sentiment_weighted_total_1d,derive_sentiment_weighted_total_1d,suilend_sentiment_weighted_total_1d,saucerswap_sentiment_weighted_total_1d,tao-bot_sentiment_weighted_total_1d,alpaca-finance_sentiment_weighted_total_1d,bluefin_sentiment_weighted_total_1d,compound-usd-coin_sentiment_weighted_total_1d,paraswap_sentiment_weighted_total_1d,orderly-network_sentiment_weighted_total_1d,bella-protocol_sentiment_weighted_total_1d,degate_sentiment_weighted_total_1d,stafi_sentiment_weighted_total_1d,unizen_sentiment_weighted_total_1d,melon_sentiment_weighted_total_1d,chainflip_sentiment_weighted_total_1d,seth_sentiment_weighted_total_1d,alchemix_sentiment_weighted_total_1d,wanchain_sentiment_weighted_total_1d,perpetual-protocol_sentiment_weighted_total_1d,harvest-finance_sentiment_weighted_total_1d,step-finance_sentiment_weighted_total_1d,badger-dao_sentiment_weighted_total_1d,stake-dao_sentiment_weighted_total_1d,polkastarter_sentiment_weighted_total_1d,synfutures_sentiment_weighted_total_1d,lever_sentiment_weighted_total_1d,mango-markets_sentiment_weighted_total_1d,vertex-protocol_sentiment_weighted_total_1d,adshares_sentiment_weighted_total_1d,quickswap_sentiment_weighted_total_1d,dolomite_sentiment_weighted_total_1d,ramp_sentiment_weighted_total_1d,inverse-finance_sentiment_weighted_total_1d,beefy-finance_sentiment_weighted_total_1d,tokemak_sentiment_weighted_total_1d,ribbon-finance_sentiment_weighted_total_1d,tranchess_sentiment_weighted_total_1d,cryptex-finance_sentiment_weighted_total_1d,odos_sentiment_weighted_total_1d,kryll_sentiment_weighted_total_1d,hatom_sentiment_weighted_total_1d,ellipsis_sentiment_weighted_total_1d,orion-protocol_sentiment_weighted_total_1d,aura-finance_sentiment_weighted_total_1d,hydranet_sentiment_weighted_total_1d,evervalue-coin_sentiment_weighted_total_1d,airswap_sentiment_weighted_total_1d,trustswap_sentiment_weighted_total_1d
2023-06-23 00:00:00+00:00,-0.168101038,,-0.482622776,-0.258080744,0,-1.043394366,0,-0.422841296,-0.809547159,-0.580597985,-0.378416746,0.272870208,0,-0.069317322,0,0.315425175,-0.812075534,0,,-0.432055084,-0.12803688,-0.287785757,-0.46945231,-0.559662573,-0.593090066,0,-0.761954533,,-0.777335815,0.320091029,-0.528935768,,,-0.341996206,-0.605917333,0,-0.50827871,-0.343885585,0,-0.357451289,0.211269295,-1.037790337,0,0.039068338,,-0.183364675,-0.20053258,-0.518273005,-0.230033284,,0.101725863,-0.170291392,0.262565338,-0.373036411,-0.365155689,-0.738488011,-0.109473124,-0.353510368,,-0.122828471,-0.340029286,0.173408261,0.247469351,-0.143814472,-0.561257172,0.168094154,-0.613086288,0,-0.530734953,0.15967874,-0.286476445,,-0.422476034,-0.351253689,-0.017897156,0.092824156,-0.007257545,-0.260544314,-0.193867044,0.111709486,0,-0.070878727,0.336179803,0,0,-0.12365278,0.081266046,,,0,,0.073968824,,0.109873842,-0.248521265,,0.026048047,-0.275271995,-0.127164268,-0.234725606,-0.038411477,-0.58048504,-0.569993011,0.181548191,-0.070315844,-0.051479343,-0.221707154,-0.407121646,-0.393887501,-0.405327296,-0.246527572,,-0.072960305,-0.282847051,0,-0.123812004,-0.761702545,,-0.280022563,-0.238415208,0.115038465,-0.263770654,-0.210339443,-0.155592349,-0.144871127,,-0.181180668,0,0.174872238,0.192733049,-0.183567929,0,,-0.171320847,-0.145888878
2023-06-24 00:00:00+00:00,-0.878702491,,-0.481022488,-0.255274379,0,-0.975610584,0,-0.435948026,-0.865975043,-0.572370176,-0.620654467,0.245443825,0,-0.099503738,0,0.322443295,-1.013648801,0,,-0.428591813,-0.12803688,0.055025433,-0.465269124,-0.483243715,-0.578377151,0,-0.76049427,,-0.781751104,0.319550232,-0.52837325,,,-0.108983612,-0.610043241,0,-0.550069695,-0.265692425,0,-0.299452454,-0.712508056,-1.037052488,0,0.039068338,,-0.195180169,-0.20053258,-0.525216314,-0.168362575,,-0.012947659,-0.549309829,0.262565338,-0.414474103,-0.41747294,-0.738488011,-0.079051294,-0.381150581,,-0.122828471,-0.301960681,0.153141801,0.419406403,-0.145860364,-0.546365319,0.167102548,-0.578621194,0,-0.523226572,-0.226140937,-0.293494786,,-0.449214834,-0.3217408,-0.017897156,0.078586102,-0.007257545,-0.259473283,-0.19140183,-0.435432778,0,-2.449939908,0.336179803,0,0,-0.12365278,0.118374481,,,0,,0.073968824,,0.109873842,-0.248521265,,0.024897916,-0.275271995,-0.129439217,-0.234725606,-0.019697639,-0.415134067,0.639322614,0.180838289,-0.128547443,-0.140922539,-0.216955383,-0.407121646,-0.389279963,-0.023131338,-0.270014744,,-0.0665476,-0.282847051,0,-0.283993105,-0.806011782,,-0.084413831,-0.238415208,0.115038465,-0.263770654,-0.210339443,-0.155592349,-0.144871127,,-0.181180668,0,0.174872238,0.172548365,-0.174707032,0,,-0.160282927,-0.145888878
2023-06-25 00:00:00+00:00,-0.692845293,,-0.479680707,-0.410839777,0,-0.990048105,0,-0.457506284,-0.821615405,-0.567953092,-0.638518945,0.209193212,0,-0.096752091,0,0.355634397,-0.793998642,0,,-0.403250715,-0.12803688,-0.258897298,-0.447886137,-0.804201573,-0.349485417,0,-0.759881516,,-0.7769612,0.312897247,-0.52837325,,,-0.134626038,-0.591674217,0,-0.568216406,-0.204452534,0,-0.2946745,-0.381951326,-1.028755987,0,0.039068338,,-0.17673721,-0.200553373,-0.525144466,-0.238608397,,-0.012947659,-0.668310457,-3.55738845,-0.418877324,-0.327474677,-0.738488011,-0.073099437,-0.319947458,,-0.122513666,-0.283563707,0.133542856,0.589083091,-0.144937608,-0.530076983,0.172775342,-0.616731709,0,-0.520445707,0.16454709,-0.294496731,,-0.448148942,-0.3217408,-0.017897156,0.082456901,-0.007257545,-0.257552079,-0.164704695,-0.431862311,0,6.577121589,0.336179803,0,0,-0.12365278,0.130147717,,,0,,0.067030926,,0.109873842,-0.248521265,,0.02499648,-0.275271995,-0.129396696,-0.320915911,0.075352656,-0.624515073,-0.273994554,0.181252786,-0.217798139,-0.153470412,-0.218606301,-0.407121646,-0.389279963,-0.401200957,-0.264705919,,-0.06650465,-0.282847051,0,-0.897419413,-0.836535482,,-0.556770322,-0.237381056,0.115038465,-0.263770654,-0.210339443,-0.155592349,-0.144871127,,-0.142969641,0,0.191353754,0.172548365,-0.166869663,0,,-0.157293485,-0.145888878
2023-06-26 00:00:00+00:00,0.253264761,,-0.478030736,-0.206250103,0,-0.907232487,0,-0.413362962,-0.90989004,-0.571624734,-0.519853525,0.182516714,0,-0.234794739,0,0.412066912,-0.785759041,0,,-0.460889315,-0.12803688,-1.00749151,-0.446113962,-0.277456301,-0.920340432,0,-0.758695079,,-0.765495349,0.277118652,-0.52995531,,,-0.211671821,0.030300877,0,-0.722529386,-0.171081097,0,-0.306152553,-0.445494592,-0.968575575,0,-0.132306639,,-0.22157187,-0.19661989,-0.515782132,-0.20879862,,0.107530652,-0.599224102,0.296024353,-0.378135069,-0.558649188,-0.738488011,-0.077176237,-0.323534299,,-0.123008875,-0.267668318,0.132982441,-0.01639693,-0.144683785,-0.529002259,0.172967531,-0.315727186,0,-0.516664931,0.153424401,-0.249187505,,-0.337162368,-0.3217408,-0.017897156,0.117715079,-0.007257545,-0.238497879,-0.194505055,-0.425428734,0,0.594234196,0.337074161,0,0,-0.12365278,0.130147717,,,0,,0.027786492,,0.109873842,-0.248521265,,0.024186126,-0.233550809,-0.129357479,-0.456406832,-0.029969357,-0.537595941,-1.18584928,0.181252786,0.037359694,-0.163578492,-0.212276413,-0.489964033,-0.362548943,-0.401200957,-0.257716801,,-0.064635069,-0.282847051,0,-0.29148205,-0.710237434,,0.056989215,-0.237381056,0.194693877,0.000365325,-0.210339443,-0.153098863,-0.144871127,,-0.142969641,0,2.059817356,0.171672653,-0.158779457,0,,-0.106822816,-0.145888878
2023-06-27 00:00:00+00:00,-0.786928902,,-0.476053692,-0.196288379,0,-1.074417067,0,-0.407749205,-0.894090324,-0.568874182,-0.602547098,0.222589611,0,-0.227988382,0,0.442517975,-0.727652938,0,,-0.424942541,-0.12803688,-0.244295687,-0.618420284,-0.316208453,-0.4120896,0,-0.756740199,,-0.775117979,0.286296187,-0.517168788,,,-0.55503945,-0.525918686,0,-0.679541387,-0.31135553,0,-0.29886234,0.030534434,-0.955876739,0,0.20195494,,-0.201439786,-0.188915264,-0.526054935,-0.202326088,,-0.029838544,-0.682862714,0.296024353,-0.394096002,-0.298047805,-0.738488011,-0.183043984,-0.323534299,,-0.122839934,-0.264278997,0.133656797,-0.734792904,-0.144855747,-0.517362821,0.172967531,0.752579029,0,-0.512812078,0.136923561,-0.251961091,,-0.391262347,-0.339001277,-0.017897156,0.115450021,-0.007257545,-0.242983887,-0.195515511,-0.422350823,0,-0.512077736,0.337074161,0,0,-0.12365278,0.124844591,,,0,,0.081380196,,0.109873842,-0.248521265,,0.003433412,-0.276017742,-0.129399664,-0.432244432,-0.030534583,-0.545631951,-0.450657882,0.181633888,0.29800786,-0.142521834,-0.217327587,-0.471834543,-0.420947285,-0.401200957,-0.257716801,,-0.063836755,-0.282847051,0,-0.370570448,-0.717080631,,0.861322229,-0.235606707,0.117608403,-0.249795407,-0.210339443,-0.153098863,-0.144871127,,-0.142969641,0,-1.85644843,0.172765742,0.412604636,0,,-0.106168082,-0.145888878
2023-06-28 00:00:00+00:00,-0.458222901,,-0.473717101,-0.21766599,0,-0.898679468,0,-0.351283993,-0.878490332,-0.560185881,-0.625933232,0.337428796,0,-0.288395299,0,0.439217984,-0.735079135,0,,-0.375273206,-0.12803688,-0.244295687,-0.585412921,-0.474552171,-0.533085136,0,-0.757977615,,-0.769991292,0.272126284,-0.527141271,,,-0.47643165,-0.70301304,0,-0.386069451,-0.317212086,0,-0.325042959,-0.624559336,-0.840858583,0,0.20195494,,-0.219232536,-0.185081576,-0.513958691,-0.202082557,,-0.028622653,-0.66833195,0.296024353,-0.405493973,-0.298047805,-0.738319856,0.177707812,-0.323995994,,-0.122839934,-0.261929295,0.134203872,0.151938947,-0.139031056,-0.51569782,0.175164554,-0.07163426,0,-0.498979092,0.136923561,-0.512980171,,-0.437725468,-0.328311431,-0.017897156,0.124065676,-0.007257545,-0.242453584,-0.19372126,-0.074566207,0,1.245856908,0.319856639,0,0,-0.12365278,0.916116867,,,0,,0.081380196,,0.109873842,-0.248521265,,0.172906264,-0.272955794,-0.020590974,-0.415572749,-0.039944256,-0.633171979,-0.434732936,0.181633888,-0.305666704,0.132704696,-0.202564267,-0.471834543,-0.354763424,-0.401200957,-0.257716801,,-0.061029425,-0.282847051,0,-0.021656182,-0.722315755,,-0.520465659,-0.235606707,0.117608403,-0.249795407,-0.210339443,-0.14822273,-0.144871127,,-0.142969641,0,-0.228176067,0.173903662,-0.162800358,0,,-0.105833225,-0.14302776
2023-06-29 00:00:00+00:00,-0.743541652,,-0.474885938,-0.219313898,0,-0.854862267,0,-0.405951527,-0.845787106,-0.565342725,-0.440764323,0.786126307,0,0.206916196,0,0.378240157,-0.750702119,0,,-0.347837245,-0.12803688,-0.244295687,-0.685953159,-0.717908059,-0.407684075,0,-0.733396659,,-0.751921501,0.279385236,-0.50608463,,,-0.318057071,0.316775675,0,-0.698837618,0.144761687,0,-0.309992165,-0.76618654,-0.932803202,0,0.20195494,,-0.207314249,-0.185081576,-0.522544449,-0.218677552,,-0.153165013,-0.664468338,0.296024353,-0.373503778,-0.298047805,-0.718436591,0.389801234,-0.313632852,,-0.123014693,-0.261043468,0.138789141,0.072752348,-0.147501741,-0.51569782,0.168419157,1.173741463,0,-0.496340333,-0.105829082,-0.47226659,,-0.377273234,-0.328311431,-0.017897156,0.129859517,-0.007257545,-0.242048532,-0.188917202,-0.101162078,0,-0.378866782,0.318900888,0,0,-0.12365278,0.069074074,,,0,,0.085252413,,0.109873842,-0.045167292,,0.182336003,-0.272955794,0.111644321,-0.415572749,-0.039944256,-0.62281041,1.45676405,0.178379778,-0.073979462,-0.187055575,-0.215149835,-0.471834543,-0.414950759,-0.401200957,-0.236862501,,-0.077092239,-0.282847051,0,-0.389787453,-0.679288672,,-0.265162264,-0.235606707,0.112121151,0.002159762,-0.183044753,-0.14822273,-0.144871127,,-0.142969641,0,-0.001822063,0.17190748,-0.245086916,0,,-0.089655019,-0.14302776
2023-06-30 00:00:00+00:00,-0.670171288,,-0.472642828,-0.202613087,0,-0.822818055,0,-0.449618269,-0.819836064,-0.559418942,-0.442539147,0.300268509,0,-0.206265217,0,0.413524692,-0.720439511,0,,-0.347837245,-0.12803688,0.303807423,-0.683392201,-0.477753404,-0.40777455,0,-0.731473139,,-0.747812856,0.271927291,-0.499250983,,,-0.428168516,-0.650585461,0,-0.687981364,-0.101427335,0,-0.287352667,-0.77915176,-0.712851939,0,0.20195494,,-0.21179302,-0.111870217,-0.525973382,-0.218677552,,-0.025616754,-0.656099102,0.296024353,-0.396439572,0.231698182,-0.714377326,-0.086441001,-0.311904911,,-0.125630828,-0.261043468,0.129835555,0.155233278,-0.144734951,-0.49945323,0.168419157,-0.522140021,0,-0.493086177,0.09171602,-0.536169317,,-0.366634592,0.903747053,-0.017897156,0.106674123,-0.007257545,-0.32548802,-0.17673452,0.106212188,0,-0.172999425,0.318900888,0,0,-0.12365278,0.022879862,,,0,,0.085252413,,0.109873842,-0.249150237,,0.18568407,-0.052489513,0.111237231,-0.391447548,-0.038164244,-0.575596745,-0.510682206,0.178303767,0.033095935,-0.161267346,-0.211913,0.785319974,-0.394843454,-0.400960618,-0.24422048,,-0.078733508,-0.282847051,0,-0.114393674,-0.738680002,,-0.731535894,-0.235606707,0.113515167,-0.245967179,-0.183044753,-0.221828519,-0.144871127,,-0.107813349,0,-0.269073054,0.202880088,-0.654636595,0,,-0.100621452,-0.14302776
2023-07-01 00:00:00+00:00,-0.817729658,,-0.471851711,-0.20672746,0,-0.838169037,0,-0.453781776,-0.799989168,-0.556208424,-0.58184865,0.305333381,0,-0.303962592,0,0.381316011,-0.702846604,0,,-0.331881777,-0.12803688,-0.253362023,-0.680189131,-0.658265024,-0.407549944,0,-0.730961706,,-0.743580465,0.271927291,-0.498958321,,,-0.428291368,-0.652109973,0,-0.662574867,-0.330047012,0,-0.286857572,-0.882145141,-0.861995986,0,0.20195494,,-0.183540493,-0.05007675,-0.527610099,-0.218677552,,-0.025616754,-0.631130599,0.296024353,-0.397777093,-0.304387031,-0.714377326,-0.088704111,-0.306633617,,-0.125630828,-0.259725568,0.129800769,0.184281131,-0.144372087,-0.494865604,0.168558017,-0.349020176,0,-0.486086993,-0.043100207,-0.561966993,,-0.354346211,-0.346831104,-0.017897156,0.114616833,-0.007257545,-0.225503476,-0.177192885,-0.442639101,0,-0.181623741,0.318900888,0,0,-0.12365278,0.022879862,,,0,,0.08848423,,0.109873842,-0.232678763,,0.181494523,-0.276799083,0.111237231,-0.399679026,-0.03825151,-0.57113149,-0.48636973,0.178127451,0.431367368,-0.094869762,-0.212881467,-0.491176685,-0.392307023,-0.400960618,-0.236439287,,-0.064550261,-0.282847051,0,-0.403015133,-0.775893781,,-0.016117884,-0.235606707,0.113515167,-0.245967179,-0.183044753,-0.221828519,-0.144871127,,-0.107813349,0,0.192777925,0.171564007,-0.152600202,0,,-0.099219035,-0.14302776
2023-07-02 00:00:00+00:00,-0.714666525,,-0.470053445,-0.215526634,0,-0.861934686,0,-0.432746794,-0.784722636,-0.554536123,-0.524490969,0.305333381,0,-0.225755885,0,0.40511903,-0.695207214,0,,-0.302051459,-0.12803688,-0.253362023,-0.654740159,-0.682727415,-0.332506186,0,-0.711509187,,-0.726263466,0.271927291,-0.484968511,,,-0.430555582,-0.530985459,0,-0.642008537,-0.328806217,0,-0.282973365,-0.850957029,-0.84170403,0,0.1963065,,-0.182439568,-0.178719657,-0.506183983,-0.219496019,,-0.007909838,-0.621381877,0.296024353,-0.394060586,-0.299142382,-0.69774593,-0.118137158,-0.306633617,,-0.12395128,-0.25721058,0.131858788,0.857502478,-0.144008502,-0.493153112,0.168578915,-0.463554658,0,-0.484882154,0.104715632,-0.552348492,,-0.351855727,-0.346831104,-0.017897156,0.114616833,-0.007257545,-0.224222626,-0.177030526,-0.442639101,0,-0.172851127,0.319194607,0,0,-0.12365278,-0.09365499,,,0,,0.091396974,,0.109873842,-0.232678763,,0.181925977,-0.27367425,0.111237231,-0.382979932,0.010880419,-0.543960171,-0.468964453,0.17830272,-0.209413242,-0.039748905,-0.210525686,-0.474204305,-0.377520693,-0.400960618,-0.226092646,,-0.062168673,-0.282847051,0,-0.35218618,-0.744394779,,-0.186003709,-0.173129887,0.113515167,-0.245967179,-0.183044753,-0.221828519,-0.144871127,,-0.107813349,0,0.145317755,0.171643391,-0.152600202,0,,-0.08046058,-0.14302776
