datetime,0x_sentiment_weighted_total_1d,1inch_sentiment_weighted_total_1d,aave_sentiment_weighted_total_1d,alchemix_sentiment_weighted_total_1d,ampleforth_sentiment_weighted_total_1d,api3_sentiment_weighted_total_1d,bancor_sentiment_weighted_total_1d,band-protocol_sentiment_weighted_total_1d,coin98_sentiment_weighted_total_1d,cow-protocol_sentiment_weighted_total_1d,crvusd_sentiment_weighted_total_1d,dia-data_sentiment_weighted_total_1d,dydx_sentiment_weighted_total_1d,frax_sentiment_weighted_total_1d,frax-share_sentiment_weighted_total_1d,injective-protocol_sentiment_weighted_total_1d,lido-dao_sentiment_weighted_total_1d,liquity_sentiment_weighted_total_1d,liquity-usd_sentiment_weighted_total_1d,loopring_sentiment_weighted_total_1d,magic-internet-money_sentiment_weighted_total_1d,maker_sentiment_weighted_total_1d,marlin_sentiment_weighted_total_1d,melon_sentiment_weighted_total_1d,olympus_sentiment_weighted_total_1d,orbs_sentiment_weighted_total_1d,orion-protocol_sentiment_weighted_total_1d,pendle_sentiment_weighted_total_1d,rocket-pool_sentiment_weighted_total_1d,spell-token_sentiment_weighted_total_1d,ssv-network_sentiment_weighted_total_1d,sushi_sentiment_weighted_total_1d,tellor_sentiment_weighted_total_1d,uma_sentiment_weighted_total_1d,uniswap_sentiment_weighted_total_1d,yearn-finance_sentiment_weighted_total_1d
2023-06-23 00:00:00+00:00,-0.761954533,-0.46945231,-0.258080744,0.181548191,-0.070878727,0.101725863,0.247469351,-1.037790337,0.168094154,-0.343885585,-0.605917333,-0.613086288,-0.286476445,-0.559662573,-0.777335815,-0.809547159,-0.580597985,-0.353510368,0.111709486,-0.357451289,0.15967874,-0.422841296,-0.109473124,-0.038411477,-0.287785757,-0.365155689,0.192733049,-0.069317322,-0.183364675,-0.373036411,0.173408261,-0.50827871,-0.738488011,-0.518273005,-0.482622776,-0.528935768
2023-06-24 00:00:00+00:00,-0.76049427,-0.465269124,-0.255274379,0.180838289,-2.449939908,-0.012947659,0.419406403,-1.037052488,0.167102548,-0.265692425,-0.610043241,-0.578621194,-0.293494786,-0.483243715,-0.781751104,-0.865975043,-0.572370176,-0.381150581,-0.435432778,-0.299452454,-0.226140937,-0.435948026,-0.079051294,-0.019697639,0.055025433,-0.41747294,0.172548365,-0.099503738,-0.195180169,-0.414474103,0.153141801,-0.550069695,-0.738488011,-0.525216314,-0.481022488,-0.52837325
2023-06-25 00:00:00+00:00,-0.759881516,-0.447886137,-0.410839777,0.181252786,6.577121589,-0.012947659,0.589083091,-1.028755987,0.172775342,-0.204452534,-0.591674217,-0.616731709,-0.294496731,-0.804201573,-0.7769612,-0.821615405,-0.567953092,-0.319947458,-0.431862311,-0.2946745,0.16454709,-0.457506284,-0.073099437,0.075352656,-0.258897298,-0.327474677,0.172548365,-0.096752091,-0.17673721,-0.418877324,0.133542856,-0.568216406,-0.738488011,-0.525144466,-0.479680707,-0.52837325
2023-06-26 00:00:00+00:00,-0.758695079,-0.446113962,-0.206250103,0.181252786,0.594234196,0.107530652,-0.01639693,-0.968575575,0.172967531,-0.171081097,0.030300877,-0.315727186,-0.249187505,-0.277456301,-0.765495349,-0.90989004,-0.571624734,-0.323534299,-0.425428734,-0.306152553,0.153424401,-0.413362962,-0.077176237,-0.029969357,-1.00749151,-0.558649188,0.171672653,-0.234794739,-0.22157187,-0.378135069,0.132982441,-0.722529386,-0.738488011,-0.515782132,-0.478030736,-0.52995531
2023-06-27 00:00:00+00:00,-0.756740199,-0.618420284,-0.196288379,0.181633888,-0.512077736,-0.029838544,-0.734792904,-0.955876739,0.172967531,-0.31135553,-0.525918686,0.752579029,-0.251961091,-0.316208453,-0.775117979,-0.894090324,-0.568874182,-0.323534299,-0.422350823,-0.29886234,0.136923561,-0.407749205,-0.183043984,-0.030534583,-0.244295687,-0.298047805,0.172765742,-0.227988382,-0.201439786,-0.394096002,0.133656797,-0.679541387,-0.738488011,-0.526054935,-0.476053692,-0.517168788
2023-06-28 00:00:00+00:00,-0.757977615,-0.585412921,-0.21766599,0.181633888,1.245856908,-0.028622653,0.151938947,-0.840858583,0.175164554,-0.317212086,-0.70301304,-0.07163426,-0.512980171,-0.474552171,-0.769991292,-0.878490332,-0.560185881,-0.323995994,-0.074566207,-0.325042959,0.136923561,-0.351283993,0.177707812,-0.039944256,-0.244295687,-0.298047805,0.173903662,-0.288395299,-0.219232536,-0.405493973,0.134203872,-0.386069451,-0.738319856,-0.513958691,-0.473717101,-0.527141271
2023-06-29 00:00:00+00:00,-0.733396659,-0.685953159,-0.219313898,0.178379778,-0.378866782,-0.153165013,0.072752348,-0.932803202,0.168419157,0.144761687,0.316775675,1.173741463,-0.47226659,-0.717908059,-0.751921501,-0.845787106,-0.565342725,-0.313632852,-0.101162078,-0.309992165,-0.105829082,-0.405951527,0.389801234,-0.039944256,-0.244295687,-0.298047805,0.17190748,0.206916196,-0.207314249,-0.373503778,0.138789141,-0.698837618,-0.718436591,-0.522544449,-0.474885938,-0.50608463
2023-06-30 00:00:00+00:00,-0.731473139,-0.683392201,-0.202613087,0.178303767,-0.172999425,-0.025616754,0.155233278,-0.712851939,0.168419157,-0.101427335,-0.650585461,-0.522140021,-0.536169317,-0.477753404,-0.747812856,-0.819836064,-0.559418942,-0.311904911,0.106212188,-0.287352667,0.09171602,-0.449618269,-0.086441001,-0.038164244,0.303807423,0.231698182,0.202880088,-0.206265217,-0.21179302,-0.396439572,0.129835555,-0.687981364,-0.714377326,-0.525973382,-0.472642828,-0.499250983
2023-07-01 00:00:00+00:00,-0.730961706,-0.680189131,-0.20672746,0.178127451,-0.181623741,-0.025616754,0.184281131,-0.861995986,0.168558017,-0.330047012,-0.652109973,-0.349020176,-0.561966993,-0.658265024,-0.743580465,-0.799989168,-0.556208424,-0.306633617,-0.442639101,-0.286857572,-0.043100207,-0.453781776,-0.088704111,-0.03825151,-0.253362023,-0.304387031,0.171564007,-0.303962592,-0.183540493,-0.397777093,0.129800769,-0.662574867,-0.714377326,-0.527610099,-0.471851711,-0.498958321
2023-07-02 00:00:00+00:00,-0.711509187,-0.654740159,-0.215526634,0.17830272,-0.172851127,-0.007909838,0.857502478,-0.84170403,0.168578915,-0.328806217,-0.530985459,-0.463554658,-0.552348492,-0.682727415,-0.726263466,-0.784722636,-0.554536123,-0.306633617,-0.442639101,-0.282973365,0.104715632,-0.432746794,-0.118137158,0.010880419,-0.253362023,-0.299142382,0.171643391,-0.225755885,-0.182439568,-0.394060586,0.131858788,-0.642008537,-0.69774593,-0.506183983,-0.470053445,-0.484968511
2023-07-03 00:00:00+00:00,-0.685749439,-0.635423344,-0.218772995,0.17864814,1.770014768,0.009449263,0.14504726,-0.822732466,0.172020403,-0.326740217,-0.602312251,-0.564756099,-0.536463262,-0.687515185,-0.700368311,-0.763130633,-0.549420106,-0.399418535,-0.436168217,-0.332785011,0.09764128,-0.428844564,-0.087569813,-0.021820133,-0.253362023,-0.28694857,0.191164497,3.374142041,-0.324453384,-0.501156837,0.131858788,-0.617552686,-0.674175601,-0.486965308,-0.469044915,-0.468800525
2023-07-04 00:00:00+00:00,-0.667101656,-0.600575339,-0.209003962,0.175626593,0.316559028,0.026703325,-0.170256395,-0.780790076,0.169877267,-0.120565641,-0.513213168,1.814098316,-0.497782987,-0.159670982,-0.680180258,-0.757536183,-0.549004764,-0.296270044,-0.418484087,-0.455862237,-0.20732442,-0.426563549,-0.086405984,-0.021820133,-0.253362023,-0.28694857,0.172854825,2.669838427,-0.328605036,-0.385853915,0.131858788,-0.601571043,-0.637000683,-0.469272028,-0.446728188,-0.456941186
2023-07-05 00:00:00+00:00,-0.653043433,-0.59532885,-0.134633666,0.181380277,0.128607481,0.068662697,0.268962457,-0.811327598,0.166015121,-0.509225466,-0.326389046,-0.439114769,-0.488501262,-0.461214822,-0.672604603,-0.743676603,-0.545958984,-0.27386797,-0.406440004,-0.352535427,0.101918614,-0.417285382,-0.098625655,-0.019583914,0.022921859,-0.291907192,0.177187676,2.078401167,-0.316647674,-0.348183044,0.106166334,-0.581096625,-0.633354066,-0.475859833,-0.445868774,-0.454740376
2023-07-06 00:00:00+00:00,-0.633438001,-0.565655594,-0.220702008,0.181380277,-0.041906723,0.01027104,0.464986837,-0.738556097,0.166015121,0.172209611,-0.685063027,-0.605328614,-0.498504729,-0.232612991,-0.390178422,-0.715570839,-0.546304908,-0.209721232,-0.406440004,-0.339159588,0.160856672,-0.400767932,-0.366118453,-0.106042018,-0.243875886,-0.279718869,0.1397749,-0.271219475,-0.326147559,-0.381318231,0.193532952,-0.566488938,-0.617207766,-0.487840312,-0.444504247,-0.453740294
2023-07-07 00:00:00+00:00,-0.61206613,-0.555541587,-0.200478098,0.175438182,-0.210656188,0.01027104,0.191817003,-0.732295349,0.167368987,-0.562541157,-0.000431012,-0.682000916,-0.506159438,0.075397346,-0.643004504,-0.729684471,-0.542906544,-0.263089852,-0.347328219,-0.359106155,-0.047971025,-0.397119641,-0.350089534,-0.071465796,-0.243875886,-0.269407416,0.131375474,-0.322856983,-0.319359545,-0.375520347,0.19611493,-0.546644809,-0.598009765,-0.642174529,-0.446154756,-0.358708223
2023-07-08 00:00:00+00:00,-0.588396008,-0.535486947,-0.167467004,0.187159517,-0.027532597,0.01027104,0.132691573,-0.730689179,0.167376512,-0.278245973,-0.547794614,-0.135997604,-0.4205171,-0.121797087,-0.618904359,-0.720112744,-0.512996688,-0.205442193,-0.66656048,-0.310849757,0.10222923,-0.403125036,2.050967733,-0.403067021,-0.225456018,-0.269407416,0.130327222,-0.866886748,-0.315396043,-0.370245259,0.233279888,-0.533447881,-0.579792691,-0.57816278,-0.444160431,-0.442779947
2023-07-09 00:00:00+00:00,-0.567042259,-0.510847539,-0.203581959,0.186887262,-0.208590056,0.011535788,0.227907933,-0.74004975,0.168054522,-0.252875787,-0.347219572,-0.607609832,-0.449550896,-0.753981427,-0.5954974,-0.66861133,-0.548174905,-0.249455885,-0.401339044,-0.361941573,0.10222923,-0.350380559,2.896159493,-0.401946068,-0.207583211,-0.269407416,0.035061903,-0.67918376,-0.296633071,-0.374035849,0.2313448,-0.531321216,-0.555014102,-0.590617781,-0.443208867,-0.437851523
2023-07-10 00:00:00+00:00,-0.54591595,-0.501516992,-0.173312125,0.188361395,0.014826312,0.014456418,0.324188553,-0.679435245,0.162851087,-0.245338398,0.006280933,-0.490192037,-0.458686537,0.026106463,-0.573990184,-0.659460521,-0.536082221,-0.161925556,-0.551092716,-0.274263049,0.141915198,-0.39973684,-0.407749899,-0.400231503,-0.207583211,-0.269407416,0.016372321,0.371925497,-0.313131786,-0.378729189,0.242523867,-0.454068635,-0.536966711,-0.556656733,-0.442254319,-0.414610765
2023-07-11 00:00:00+00:00,-0.526310859,-0.492314516,0.026032261,0.147085416,-0.332338179,0.014456418,1.227706375,-0.695444356,0.162247147,-0.170041001,-0.138752305,-0.477314165,-0.433779393,-0.245786326,-0.553062965,-0.624207276,-0.532237978,-0.123246165,-0.383361878,-0.475330322,0.092149552,-0.378320693,1.189944696,-0.926662086,-0.213376305,-0.269407416,0.026552209,1.014663632,-0.310946417,-0.359826559,0.244082808,-0.489078069,-0.513798033,-0.586903532,-0.442550253,-0.433984973
2023-07-12 00:00:00+00:00,-0.50351342,-0.353815687,0.472079554,0.184512055,0.962526471,0.014456418,0.075128393,-0.690701956,0.24270886,-0.272229828,-0.524687299,0.945554528,-0.44302679,-0.264783638,-0.542678037,-0.654131318,-0.519748331,1.18038622,-0.36955718,-0.279829858,0.135487837,-0.332165347,-0.532783945,-0.128640092,-0.214141238,-0.269407416,0.024539992,-0.275854761,-0.302384445,-0.345737707,0.288072119,-0.486043216,-0.500002274,-0.544804167,-0.437854569,-0.433001676
2023-07-13 00:00:00+00:00,-0.503581108,-0.454900863,-0.082663585,0.143733435,0.511499047,0.071866637,0.079923036,0.081014098,0.161143688,-0.274341312,-0.756058387,1.718091283,-0.507477678,-0.90845354,-0.548918869,-0.61878005,-0.500089184,4.949317707,-0.36955718,-0.301717495,-0.145542096,-0.293265667,-0.073255813,0.307752275,-0.214141238,-0.269407416,-0.141844934,0.468454293,-0.325167232,-0.28045304,0.289053815,-0.444284853,-0.495630585,-0.525154927,-0.434817617,-0.437191653
