datetime,0x_exchange_outflow_usd,1inch_exchange_outflow_usd,aave_exchange_outflow_usd,alchemix_exchange_outflow_usd,ampleforth_exchange_outflow_usd,api3_exchange_outflow_usd,bancor_exchange_outflow_usd,band-protocol_exchange_outflow_usd,coin98_exchange_outflow_usd,cow-protocol_exchange_outflow_usd,crvusd_exchange_outflow_usd,dia-data_exchange_outflow_usd,dydx_exchange_outflow_usd,frax_exchange_outflow_usd,frax-share_exchange_outflow_usd,injective-protocol_exchange_outflow_usd,lido-dao_exchange_outflow_usd,liquity_exchange_outflow_usd,liquity-usd_exchange_outflow_usd,loopring_exchange_outflow_usd,magic-internet-money_exchange_outflow_usd,maker_exchange_outflow_usd,marlin_exchange_outflow_usd,melon_exchange_outflow_usd,olympus_exchange_outflow_usd,orbs_exchange_outflow_usd,orion-protocol_exchange_outflow_usd,pendle_exchange_outflow_usd,rocket-pool_exchange_outflow_usd,spell-token_exchange_outflow_usd,ssv-network_exchange_outflow_usd,sushi_exchange_outflow_usd,tellor_exchange_outflow_usd,uma_exchange_outflow_usd,uniswap_exchange_outflow_usd,yearn-finance_exchange_outflow_usd
2023-06-23 00:00:00+00:00,58494.634355417125,451415.5126778718,1034638.188228236,51565.25176104724,28196.939761763253,256502.0672069136,142078.8247167815,55619.36481588509,109605.15847410935,1582.880735342252,,6533.809010055593,487424.36138235754,2187139.9928662786,832839.1277544578,192521.77572715792,3605472.300672828,595659.8419742307,1159233.496040057,240088.955427716,285058.02021948615,414362.1174825477,91590.15587407615,71122.37719307253,117893.60783968058,30250.782892423,4555.281609130554,173247.88165308756,6553474.072091687,48246.76742311365,87368.916027024,483363.7083262025,33677.04602396753,209748.34478873527,3128219.6944169193,804872.96118428
2023-06-24 00:00:00+00:00,375033.5192396808,1072723.3126479338,1333201.5788374394,81126.90267444808,381735.3330321302,194963.0593514584,128177.03712815524,51509.61002337924,0.0,3209.050403326114,,148481.22996201954,188288.8060957402,1516632.6553479708,979464.3439161356,269069.7768165546,3235583.370522187,290911.7710265754,1099866.2349433808,840767.4804261781,1457151.1202536123,695604.0746887258,49409.902866235985,21569.640373673257,94709.8630361982,4370.419429557703,21258.20093382971,222185.68842050037,1397633.120390087,99447.97763586466,47639.76434381003,529066.4906404158,29029.49556374578,112586.1942289962,2300807.0189445917,280748.6370654598
2023-06-25 00:00:00+00:00,206270.17858186064,720949.9254338967,63855153.34291234,256381.42445505143,632039.5414998772,223788.478374749,209736.37982433164,38907.66217428053,82945.74540195384,243.387263482029,,76256.9871541339,741220.9354242327,6959484.64726471,799515.9937739631,163805.5536603665,3753932.454771528,226775.6447353235,1125333.3605955136,324614.70120224194,4291.125115955834,934965.6418210466,70509.12128773853,63414.94944939545,491614.7841481501,23108.491558293674,59415.97272040643,320189.7901395038,506540.2206103771,46652.53558723847,171098.65689912182,969293.2120328055,116555.86033542952,514121.35111529625,19021471.779590376,330367.5282067397
2023-06-26 00:00:00+00:00,294656.5066832824,2641956.254067823,10145669.193464529,266859.1514521276,225404.3326854023,215551.32090413143,199969.47559895433,67015.87397068493,2446.319008638569,4926.48446849166,,85282.75150581423,1376764.223283592,4015136.407304341,1876964.205328422,1974019.3446453933,2307149.3257663413,375657.4750579186,2935916.836720473,270070.16312784445,29499.10820188334,1140208.9775448642,31851.54722821727,2214.365178649918,917751.3807898712,5910.546855854333,11244.92718921957,488712.1272789949,477301.17259363673,53110.82290124771,213860.8161479054,621073.6452841389,28232.028347213643,98173.15530444145,8482602.609230736,305178.9765072239
2023-06-27 00:00:00+00:00,185284.14044017383,241520.28734824524,6657788.685259532,63211.64476780166,26031.581409298065,141860.2647415075,128831.34673176012,34444.33804457734,2495.029884025577,12428.444781532731,,85360.0482843163,563297.4636075435,6916049.560919117,1065273.3949939965,388620.1985178086,5401185.414468931,101578.5856529018,2559344.2048698496,81542.9062191259,1978.917183392181,3038564.2151616844,12738.569937994636,23186.952545082037,1058029.5336611883,6561.963717071016,76101.61450143924,463191.1998407404,922777.4913834088,112046.72231377714,135909.07007946048,214885.52372984265,42729.53537289606,105633.63967339972,14852493.406138644,272460.42267537327
2023-06-28 00:00:00+00:00,350310.63462901645,250974.08165312416,4844599.280622289,121385.97133821604,54044.858887310824,152356.81745268637,247510.3000507301,103972.8745364322,66105.67799621292,157.612447441988,1708423.96693617,44308.13025092007,524328.688006683,1284809.9177787716,1051880.645653946,386616.6383136288,3069390.884607496,1247311.570172249,5748661.396652725,379955.45788282313,10885.923615932508,983404.6949213812,32846.066874053045,26438.944653830604,1574090.6434482492,63997.99570683793,35173.00918567555,363612.6153841823,316626.7453976369,126400.8174612446,198235.0179201743,261934.2368725374,53219.285346350065,147345.55525154708,6141097.876842641,237651.6663446109
2023-06-29 00:00:00+00:00,88476.39382730005,1014988.8589483772,8451567.646424292,111370.57796337524,93780.9851060359,110209.01742498275,103183.19972634224,22565.73095125619,1591.801723608252,10.227812580867,5721198.769042539,10001.00035726114,888466.9579519591,1602496.1910766491,650406.4914324423,550612.6432730117,3252223.527548483,119076.79176692944,10180235.339755652,207453.72404732695,605900.700311058,735833.8558392765,38336.613965116194,5441.174406661206,417383.4518945971,4007.417465148902,18035.823144328373,333440.51267601317,401850.8508390567,100302.69557139948,50395.39037216872,184707.9080168447,9077.042483619236,159914.93951819913,4873392.215089131,247821.67789613223
2023-06-30 00:00:00+00:00,222944.9846081735,277212.48824428336,18499491.40389679,181241.86991573576,114472.51607794069,298082.1990803444,357953.97354940436,40580.34874379154,56406.04661189584,8908.813604226669,3978014.853205227,31240.465895778376,1374781.2856794305,3642211.906612577,2007846.4303308672,428079.76895795984,9159709.492735691,1327301.340084878,3269923.7400802206,233516.9108564056,13394.908946979322,6100722.916010836,41471.8373085734,62368.67477760234,358050.9776714938,3910.591323298172,19784.61309548332,629817.8343443546,1791610.165471248,109545.8043507502,190572.24404195836,632882.9593371793,38907.13177648639,223835.721272291,7549722.613286513,604707.4903366554
2023-07-01 00:00:00+00:00,95086.7197934046,249636.6605658146,3899790.870734668,38352.03861526619,25619.61892907636,41763.200152326826,274518.4107859628,68510.67521954667,3352.091525307173,1488.729041238095,2501573.745096399,15668.042032848987,794204.3699613241,2563702.905156684,494232.1786006592,750104.5376817727,2680372.4661349547,466183.963313838,3647566.1024515806,263178.7353306999,8894.427938921266,1257672.997202108,11924.237264554882,4621.82181081774,168479.64734012453,50349.30274924495,19939.472323544094,836192.9296942885,1196113.7454616828,43004.33736751471,391447.4742798254,347711.14089662535,50082.154233550784,19957.71522182571,4117776.874124619,296186.5637164838
2023-07-02 00:00:00+00:00,55832.83968661322,178836.92106724333,7367287.237528684,32816.089660282174,31746.612136410753,136582.25589128438,132192.34816183726,18333.31429345435,1348.714464070336,0.0,3714289.8655131822,15643.314919952318,434206.44538361504,1279538.7334986082,560057.4355873804,685740.8931629374,5434764.890600232,155794.0380135119,1099279.0065571032,251607.7060089965,4851.475264315422,1442924.0090805958,26103.19572544428,64344.57504550026,100291.34115467864,42374.98726191908,8005.902356930099,931937.3179983872,1525494.3970329529,117517.42993420151,235890.3214049484,335565.9452466971,12435.964308477936,92175.47702400154,9670398.971950203,1118965.0390227458
2023-07-03 00:00:00+00:00,75813.62636944627,1099970.2630853956,10540700.852139652,109593.01796328458,29530.393413408776,95836.52151709783,288193.23592766875,15446.391063685403,5464.235014155665,0.072192416613,6810136.231741527,9998.679107393153,2551567.261850895,2833302.8099904843,3729142.298885909,190712.5533711082,8442935.028003449,212152.8242424072,2252773.077416434,285376.9927588125,3696140.069520869,6040167.76687377,171495.85070799675,6932.138516525543,918144.0905868434,64672.78672343197,11204.545713105936,9645397.133297589,1306642.289028583,629976.9229339366,308738.705365923,606390.1101108749,25821.90027858945,72041.257908373,5677630.859476786,1156646.1741218
