datetime,0x_exchange_inflow_usd,1inch_exchange_inflow_usd,aave_exchange_inflow_usd,alchemix_exchange_inflow_usd,ampleforth_exchange_inflow_usd,api3_exchange_inflow_usd,bancor_exchange_inflow_usd,band-protocol_exchange_inflow_usd,coin98_exchange_inflow_usd,cow-protocol_exchange_inflow_usd,crvusd_exchange_inflow_usd,dia-data_exchange_inflow_usd,dydx_exchange_inflow_usd,frax_exchange_inflow_usd,frax-share_exchange_inflow_usd,injective-protocol_exchange_inflow_usd,lido-dao_exchange_inflow_usd,liquity_exchange_inflow_usd,liquity-usd_exchange_inflow_usd,loopring_exchange_inflow_usd,magic-internet-money_exchange_inflow_usd,maker_exchange_inflow_usd,marlin_exchange_inflow_usd,melon_exchange_inflow_usd,olympus_exchange_inflow_usd,orbs_exchange_inflow_usd,orion-protocol_exchange_inflow_usd,pendle_exchange_inflow_usd,rocket-pool_exchange_inflow_usd,spell-token_exchange_inflow_usd,ssv-network_exchange_inflow_usd,sushi_exchange_inflow_usd,tellor_exchange_inflow_usd,uma_exchange_inflow_usd,uniswap_exchange_inflow_usd,yearn-finance_exchange_inflow_usd
2023-06-23 00:00:00+00:00,59718.95639307424,275617.00162019685,3233259.3937228234,51305.0441419919,15184.355495539512,225798.95366667688,1339229.6262149464,66246.41516902753,426984.9184124858,9061.388045192469,,7520.606824512797,1924101.3341189749,1399584.5688765266,1162421.908472699,209504.90417005823,3608167.314066452,532367.7052029443,684584.0586067648,414880.8498845685,258030.5476062002,751455.5513142219,32884.88822064995,80058.98094344517,262736.26082652336,7273.063502499948,3586.700716989571,127749.37492103674,374819.8633691035,187691.13229191615,73765.71691169235,506680.5850771175,19264.43783133724,225046.2098619673,2876755.9499486336,157163.8830112432
2023-06-24 00:00:00+00:00,285464.1030795075,505167.0944525236,1219785.43827119,107720.83933570488,291844.14102034876,200523.11104476004,69808.6055090056,81108.52445609469,86604.19802082107,4998.162909662208,,167070.08547472188,300256.96754943446,3930500.99988159,700602.7064711273,300510.5808115602,2708097.10479435,386110.6197732596,3886278.5774181057,2396838.338264443,1471789.2914027362,1357305.97428412,115078.45627993028,55115.37612456096,125454.7615978362,11213.692489430208,18857.273373459495,151496.67103243564,1749224.9468745512,104432.55897877732,28943.114505775815,242289.91285906377,134832.30206302597,154782.90341932073,2436985.4611748625,416734.08946822246
2023-06-25 00:00:00+00:00,164006.87329458052,788326.6528573234,41868269.95553889,212027.55921227476,524831.4223317006,269472.7861538862,250773.3818774599,85030.97587532902,62416.12357885255,144.25288201061,,94603.1737751064,965765.7964613388,1589250.1543812172,983655.7874170912,105465.10922539677,4191574.992785883,308440.1869050888,1252552.8943867858,612095.6883326843,5403.762008881406,1031409.600114134,71474.55449774882,67125.98875103075,466858.73975956434,10861.840452460889,55868.214449611114,234181.49052980787,520204.6600113484,70409.47356039852,109682.7321459884,763332.2589872924,38021.78067964664,433957.53061318625,15806079.26184941,380043.8084261312
2023-06-26 00:00:00+00:00,52181.801696528906,744361.6726589778,18058523.356471226,250974.35761887304,329677.4129967168,200846.5789929441,184007.22464150356,67059.05317150324,189749.15386118015,17238.947877632465,,111635.21058724898,952221.6758193736,3816325.189610197,2043791.896680029,427530.56867839413,2937464.498478635,495568.54019949114,1579565.981256143,210926.458457575,1410.954173814259,1535766.3826049508,24657.669942413348,14796.604395028056,857993.8796176856,21506.2335967132,90.064826776989,484520.31710562046,627222.7714776875,69527.17202878928,294210.58914420084,257968.17092303,71466.57951490382,84155.76384139268,10261024.620623697,296532.7485779053
2023-06-27 00:00:00+00:00,134966.71828775678,309396.3987831634,9553445.422950769,117337.69156819762,25749.383311924594,172607.52566950492,264411.87112629175,23386.463531290705,54791.11614415656,6545.491233666251,,93058.81163027472,1432082.8141442686,2593405.309419909,1687705.09434208,256946.2145697032,6803877.783886399,159348.77057685598,3089770.9892572523,154938.3330734469,0.0,2456128.281235675,18610.671066049224,29623.415988887173,907072.4405077972,3461.514321619756,48159.7447557897,437100.43470284494,1000336.0936586655,172441.84601579755,49116.06305290271,141859.33322019878,52139.18349720845,127069.88976848371,17632793.1797437,263425.5081434168
2023-06-28 00:00:00+00:00,97338.4455638384,310951.35617873806,4791351.70237191,102459.64016701624,40143.71628222239,196052.27658327,163836.83549054948,58076.32470123657,166083.213426139,670.271240482216,1888788.630397735,43593.19837944555,378941.9686988431,2943966.8704883317,980431.8281095772,347275.19056887407,2356429.222024961,1223006.0571797004,3623242.4400822506,248615.74673090855,179110.91129248554,791964.3533873436,36044.48679109568,4893.192543336747,1181099.2845034243,2688.661822588839,39392.73657275021,378336.88689405465,235155.9630525243,70371.19395362651,126018.30586388914,291428.2368843518,33477.79911220133,57557.14482500596,5536744.356824038,111197.07808940648
2023-06-29 00:00:00+00:00,62419.37432956158,964179.7177988772,8289688.680619048,194056.83954741177,77598.95957174675,89859.87700980327,523103.39564536937,26241.908935688494,266621.32402578596,1428.064294563071,5518868.101781863,9053.198944147653,597163.9778264471,3539489.5652125063,592804.0770621737,347683.5051012331,3447912.831349776,180074.4929740629,11839438.10545324,72419.98010740157,80408.21559624886,984459.5889561787,21654.599778435462,33632.88435285201,331338.6309325979,0.0,30131.27345678664,459290.6211445437,385050.7968719599,20545.002939650018,48025.14263535813,144431.7681374228,0.0,11159.674267918715,3454942.4730377733,138816.34386618884
2023-06-30 00:00:00+00:00,220820.02896470128,420085.52102017734,14955399.910508676,206236.9919667901,116860.90841148848,151373.46728491457,323560.7107109463,52275.78397063536,166322.26146725495,2846.929702169879,3984570.693191688,8508.8877969667,866812.6897239819,7221619.287592972,2584412.085381886,411951.2447392304,7584163.416422352,1243824.6454100308,4048353.103175852,190208.95748259616,323085.503489404,7083414.151548068,32899.21137633973,19851.16160534909,358553.23019668786,1769.691179228993,12216.549345159649,789352.705899854,1512588.7246759536,201328.16664208568,156954.74176346345,497693.6522190279,92010.81928132246,222896.6446041035,6913916.918928949,489909.062766286
2023-07-01 00:00:00+00:00,211425.2262331744,178693.58836680363,4302223.689128034,40025.37298835011,34807.24984351708,129287.45979840423,252887.7080798145,50732.6494632452,152490.24319581242,2735.749402071284,2812984.5107818535,28606.180566787203,900647.8079550805,2490829.12183364,523825.9945880095,578793.0085252627,3742478.098701179,649285.0647631137,3265417.8451116253,387225.1727881886,440166.9665916526,1783640.181307934,14979.69964869712,41563.420810308315,143619.9803784403,35931.59430109317,14485.819707074894,721593.8612985773,1882342.2922756528,117303.84579521455,622157.7286795839,586053.1547274223,88832.55461400986,205370.45174695176,4500424.014605593,829212.6991876597
2023-07-02 00:00:00+00:00,96089.78311678996,214828.30104971843,8051066.249885595,67386.94062042385,42531.61983056101,131579.3237107824,177583.62232051694,39211.677817652766,1325.103616050167,2223.663365596049,3540268.470860078,20124.222229240542,550631.262360234,949302.4118778649,644333.9045909714,257966.69301642917,5955069.327799217,211327.56349625863,2384832.7550544105,162935.11950098255,2567.863009304021,1797221.0905849822,37912.69866640468,68228.00183534637,101511.66481765152,58385.4291333371,1539.840294436779,842095.105636307,4020677.763306915,96829.99415775562,385152.9603953693,496822.3641681691,26895.924700631174,145235.32240861806,4028735.951580877,1042968.5897810787
