datetime,0x_exchange_balance,1inch_exchange_balance,aave_exchange_balance,alchemix_exchange_balance,ampleforth_exchange_balance,api3_exchange_balance,bancor_exchange_balance,band-protocol_exchange_balance,coin98_exchange_balance,cow-protocol_exchange_balance,crvusd_exchange_balance,dia-data_exchange_balance,dydx_exchange_balance,frax_exchange_balance,frax-share_exchange_balance,injective-protocol_exchange_balance,lido-dao_exchange_balance,liquity_exchange_balance,liquity-usd_exchange_balance,loopring_exchange_balance,magic-internet-money_exchange_balance,maker_exchange_balance,marlin_exchange_balance,melon_exchange_balance,olympus_exchange_balance,orbs_exchange_balance,orion-protocol_exchange_balance,pendle_exchange_balance,rocket-pool_exchange_balance,spell-token_exchange_balance,ssv-network_exchange_balance,sushi_exchange_balance,tellor_exchange_balance,uma_exchange_balance,uniswap_exchange_balance,yearn-finance_exchange_balance
2023-06-23 00:00:00+00:00,8112.668693451918,-561278.6958080378,39207.11959314285,-22.859131989561,-10865.190083447,-29547.510261273743,3101003.7609353308,8291.080764630977,2071251.9704942168,99504.62287433328,186.670735970215,3623.564129044311,771373.6172307284,-788077.7961314676,56897.333525067355,2463.673882610622,1990.018753802882,-68601.67472760857,-472216.13059167104,775238.0523895106,-27091.948071531533,459.035876368642,-7298651.772911803,517.599078494329,13542.283700616,-987642.792560622,-1408.991660139999,-70409.08009801718,-151587.98584400152,287324176.6720661,-725.753386360159,35406.41788217144,-1420.533142324611,9817.478528852496,-51940.112343887165,-102.551020546272
2023-06-24 00:00:00+00:00,-402110.5115156784,-1749228.9383303314,-2057.296639518132,1790.34188687899,-69953.90802216898,5106.284283747061,-148143.00336318774,24325.009220142812,556496.9882125377,23858.81489405592,-112704.6366814952,71719.07848507597,61563.25126236102,2415433.561928857,-49307.451204486315,4182.323439418976,-285595.76454719534,99201.96232544552,2775649.933256638,6568859.314981829,13709.673873367889,916.992048102651,8291638.383932207,1912.86681540671,2896.535135976,289364.6804482015,-3730.88838416,-106897.52528945968,8901.284654159386,12398685.502389556,-1011.02111433963,-422769.936447375,10235.54901473,26235.4592890176,28623.928153942183,21.588887612507
2023-06-25 00:00:00+00:00,-205482.8663813162,197451.52763736085,-318143.13823047216,-2942.30448967059,-73583.80383386297,42457.13183145969,102161.53054895758,34997.57290133334,-125592.2605760024,-1334.449918988559,-37371.75465976446,70109.47440466213,109549.18458877504,-5372054.100741643,31087.99504123514,-8327.435080453024,226871.5423601474,83081.26710380647,127536.79899179132,1170562.539393428,1111.467905786551,122.277841227113,85890.95830759512,215.770543583556,-2292.885418511001,-505753.32360864605,-4285.024803100006,-130235.10866613669,344.698581544714,49059543.552877426,-3754.151462299259,-290703.4785006268,-7189.7017562148,-42353.0920774787,-603559.7081407995,7.420027526495
2023-06-26 00:00:00+00:00,-1156296.0849774866,-5941385.6889100885,121172.35192643505,-1143.49430545074,74892.039297713,-14318.409029160915,-42902.803090378824,-295.01471493398,1198125.3254018778,160904.12972810116,21511.58509673182,108274.39032490388,-217587.7270469668,-199172.74455062387,27128.48068159061,-212301.452666558,323341.78162487113,122579.1020832807,-1353194.88113434,-253681.4436595089,-28191.862442955455,568.991424082379,-871353.4486133457,710.4655,-5649.630076263009,660620.5097065936,-15986.96719078,-5234.856531944849,3915.653512748679,32562496.99479179,4488.185786509114,-533495.7596844175,4075.251593408698,-8733.584945112967,330546.16045280686,-1.584760582063
2023-06-27 00:00:00+00:00,-234044.95728038548,214183.97327499336,44861.12753325704,3536.85725020332,-145.042882212999,30392.506804738292,346964.3999286349,-8582.447480888231,330876.28240364976,-77810.19874205947,-82602.08988068196,31906.56332107723,432416.90400612104,-4327885.807026331,105511.6874024717,-17273.15604645565,709152.3816446201,61611.29194274843,528633.6684265077,313124.26817448944,-1984.197373355104,-850.496872308426,767865.3238746448,347.974825055807,-14264.055581993982,-131290.21049628593,-39172.240265149994,-36744.04226366731,2006.072895829916,123697602.37511374,-4775.833683452493,-107177.72497707576,860.92769157,13088.827889556109,520961.5953585481,-1.53670728535
2023-06-28 00:00:00+00:00,-1247978.5413579608,195789.17994065443,-1145.766927800521,-1424.471809367631,-11056.528064208,41590.137163665546,-219328.52760707424,-37575.41961023295,667021.2895258841,7045.444432057942,233676.13891720815,-2705.426567812312,-76299.88903703542,1661498.2218568616,-13965.275808583096,-5381.070370567116,-380913.4841401448,-31358.484833885585,-2118373.9284523786,-602259.3296315254,168722.1285420638,-291.314649353072,470218.9962913822,-1286.10620431737,-37308.977511798985,-2615248.0145237683,5917.756740420003,20309.31585562885,-2173.551599186235,-122667396.49923268,-4184.793766838277,44149.839964471925,-1936.385588635431,-58035.08670283266,-120153.25106659783,-20.356468214145
2023-06-29 00:00:00+00:00,-129572.9247784633,-201450.87644684868,-2474.09206715862,5842.051728290156,-12881.803769719998,-20802.933674901346,1100268.7404230474,3104.832457827042,1818904.536180152,19553.326250727252,-202566.2326489433,-3948.46133935001,-148874.52576338005,1939156.2464428388,-10627.15540768424,-26103.282069442048,103155.83181331132,68836.4010541231,1649214.0038059696,-608824.2437095427,-528448.5529133069,352.797878611507,-2236763.0517664216,1671.982730882265,-8187.597378631001,-175255.61452724,17572.19021696,157554.1535437606,-445.136589042591,-174956829.30469823,-133.377723575741,-61225.586323749805,-901.1841876,-96444.96495596367,-294231.97905681154,-17.358051536711
2023-06-30 00:00:00+00:00,-9877.13308274507,450355.63274267665,-52017.67581299364,1687.5322465391,782.845929443007,-143289.56898665204,-89690.78057126359,10712.73300567568,727729.0164247969,-85324.64304101511,6556.938439942951,-92389.53459451455,-249212.84146266183,3584274.9323488357,99581.84368056532,-1932.815463595722,-799821.7929464541,-90964.00557214044,774635.9381757316,-195084.22834261335,310081.3559185288,1296.700938633673,-1119710.1520161282,-2500.94885704523,44.045586883001,-92263.01381055496,-11268.7806265,193230.75391280785,-7403.435936459096,197332836.37417895,-2012.908428587721,-202554.1189792212,5076.145595185461,-205.3192301407,-130178.66850977873,-18.041287496808
2023-07-01 00:00:00+00:00,552886.9010637731,-213322.6763576902,5626.19386373769,119.990845218967,6901.435076596002,83895.23261356082,-55352.17223387996,-13964.424495934676,951227.1440818164,16876.029394850055,311635.56777276716,51294.06145255279,52839.12485948355,-73003.86756933888,5130.665642265456,-20749.990420369097,510797.79290401033,194919.1038049718,-381514.622900712,533185.5478761006,433414.9735795663,643.778944358157,394903.7552832149,2172.832629777942,-2362.624314308,-585156.2206799473,-7603.940484689997,-136418.36457386237,17626.34995968984,154901298.98486426,12031.975005740624,346963.656768208,3495.847664476604,113928.94629754596,67636.24254457415,80.451087009497
2023-07-02 00:00:00+00:00,187905.95406303008,111404.3144365165,9266.151706129926,2417.296343960538,8207.397552242,-4539.720608131459,116177.488752203,16229.36141738828,-1.454093880604,30211.771415109462,-174277.7726649688,18179.413055535177,54927.69257887001,-330457.3525317936,14556.293869679865,-49323.05274344341,249867.1495884804,58694.1441188565,1282131.3659694,-372454.8368844781,-2293.064588141797,413.572916829818,1505911.4252798506,227.262216543224,105.676845361,669172.251797443,-9600.16574928,-95800.91928027185,65049.47678555231,-43587990.34850577,7830.052315402831,235141.49076896167,1322.65860868,32764.318720343825,-1021292.9834045976,-9.629890991136
