datetime,chainlink_exchange_outflow_usd,uniswap_exchange_outflow_usd,aave_exchange_outflow_usd,ondo-finance_exchange_outflow_usd,maker_exchange_outflow_usd,injective-protocol_exchange_outflow_usd,lido-dao_exchange_outflow_usd,raydium_exchange_outflow_usd,dexe_exchange_outflow_usd,pendle_exchange_outflow_usd,olympus_exchange_outflow_usd,1inch_exchange_outflow_usd,frax_exchange_outflow_usd,convex-finance_exchange_outflow_usd,0x_exchange_outflow_usd,frax-share_exchange_outflow_usd,stargate-finance_exchange_outflow_usd,yearn-finance_exchange_outflow_usd,crvusd_exchange_outflow_usd,sushi_exchange_outflow_usd,cow-protocol_exchange_outflow_usd,loopring_exchange_outflow_usd,lcx_exchange_outflow_usd,band-protocol_exchange_outflow_usd,clearpool_exchange_outflow_usd,rocket-pool_exchange_outflow_usd,uma_exchange_outflow_usd,api3_exchange_outflow_usd,spell-token_exchange_outflow_usd,orbs_exchange_outflow_usd,tellor_exchange_outflow_usd,marlin_exchange_outflow_usd,liquity_exchange_outflow_usd,numeraire_exchange_outflow_usd,ssv-network_exchange_outflow_usd,bancor_exchange_outflow_usd,balancer_exchange_outflow_usd,oraichain-token_exchange_outflow_usd,coin98_exchange_outflow_usd,dia-data_exchange_outflow_usd,tokenfi_exchange_outflow_usd,dodo_exchange_outflow_usd,magic-internet-money_exchange_outflow_usd,dydx_exchange_outflow_usd,kujira_exchange_outflow_usd,keep-network_exchange_outflow_usd,smardex_exchange_outflow_usd,hashflow_exchange_outflow_usd,liquity-usd_exchange_outflow_usd,ampleforth_exchange_outflow_usd,whiteheart_exchange_outflow_usd,hegic_exchange_outflow_usd,insure_exchange_outflow_usd,paraswap_exchange_outflow_usd,bella-protocol_exchange_outflow_usd,degate_exchange_outflow_usd,stafi_exchange_outflow_usd,unizen_exchange_outflow_usd,melon_exchange_outflow_usd,chainflip_exchange_outflow_usd,seth_exchange_outflow_usd,alchemix_exchange_outflow_usd,perpetual-protocol_exchange_outflow_usd,harvest-finance_exchange_outflow_usd,badger-dao_exchange_outflow_usd,stake-dao_exchange_outflow_usd,polkastarter_exchange_outflow_usd,lever_exchange_outflow_usd,quickswap_exchange_outflow_usd,ramp_exchange_outflow_usd,inverse-finance_exchange_outflow_usd,tokemak_exchange_outflow_usd,ribbon-finance_exchange_outflow_usd,cryptex-finance_exchange_outflow_usd,kryll_exchange_outflow_usd,orion-protocol_exchange_outflow_usd,aura-finance_exchange_outflow_usd,airswap_exchange_outflow_usd,trustswap_exchange_outflow_usd
2023-06-23 00:00:00+00:00,16187146.68581734,3128219.6944169193,1034638.188228236,,414362.1174825477,192521.77572715792,3605472.300672828,0.0,3324.716415400845,173247.88165308756,117893.60783968058,451415.5126778718,2187139.9928662786,217616.5363317996,58494.634355417125,832839.1277544578,333175.8654386403,804872.96118428,,483363.7083262025,1582.880735342252,240088.955427716,75702.74011700581,55619.36481588509,1412.678672268403,6553474.072091687,209748.34478873527,256502.0672069136,48246.76742311365,30250.782892423,33677.04602396753,91590.15587407615,595659.8419742307,397059.94852381066,87368.916027024,142078.8247167815,57252.376841116886,73464.79119748605,109605.15847410935,6533.809010055593,,4965.370331899722,285058.02021948615,487424.36138235754,0.0,638071.7717876894,35300.49432187013,38804.57957514911,1159233.496040057,28196.939761763253,67.987500732916,310.762802994232,101.057331546433,6411.595689754648,11117.313977655467,83.559138593516,30600.95224307372,20892.97058306805,71122.37719307253,,104.595192560594,51565.25176104724,148248.80222152325,70337.26528675374,10225.00924751076,25383.09248156511,54748.295390888095,6028.639099628032,66082.29200176026,0.0,0.0,44807.44284267776,26911.1068258919,165789.49482839854,397.835421571812,4555.281609130554,61166.030230575874,129071.8525127052,7185.267385585707
2023-06-24 00:00:00+00:00,9863069.050505089,2300807.0189445917,1333201.5788374394,,695604.0746887258,269069.7768165546,3235583.370522187,0.0,44821.15232152091,222185.68842050037,94709.8630361982,1072723.3126479338,1516632.6553479708,194250.0093940132,375033.5192396808,979464.3439161356,841887.8509133554,280748.6370654598,,529066.4906404158,3209.050403326114,840767.4804261781,324564.3996656863,51509.61002337924,8821.837372178428,1397633.120390087,112586.1942289962,194963.0593514584,99447.97763586466,4370.419429557703,29029.49556374578,49409.902866235985,290911.7710265754,133751.98175444736,47639.76434381003,128177.03712815524,13459.646790040417,7385.731527517132,0.0,148481.22996201954,,1241.276778005569,1457151.1202536123,188288.8060957402,0.0,560772.4706546104,7121.510296445116,8589.3167914552,1099866.2349433808,381735.3330321302,2323.971634115219,69.863398110267,3105.597943653915,2019.641810107366,14827.42813288044,37.260186003797,24989.96513866433,39349.85843689247,21569.640373673257,,256394.10433268288,81126.90267444808,78333.01864695665,89383.91172900608,85959.1955177944,6390.113751371592,58864.280358305776,423.853487253708,40501.161929658905,0.0,3576.22438986621,2853.304320132496,22872.76623454021,0.0,17.036036927084,21258.20093382971,28261.584483689265,33322.53611355383,5456.158500508277
2023-06-25 00:00:00+00:00,10874532.001516704,19021471.779590376,63855153.34291234,,934965.6418210466,163805.5536603665,3753932.454771528,0.0,13224.60805181995,320189.7901395038,491614.7841481501,720949.9254338967,6959484.64726471,273946.43056371645,206270.17858186064,799515.9937739631,499332.2468513429,330367.5282067397,,969293.2120328055,243.387263482029,324614.70120224194,77604.19349089866,38907.66217428053,0.0,506540.2206103771,514121.35111529625,223788.478374749,46652.53558723847,23108.491558293674,116555.86033542952,70509.12128773853,226775.6447353235,40694.18285396823,171098.65689912182,209736.37982433164,119844.1679304967,5733.064248769352,82945.74540195384,76256.9871541339,,8332.177253284839,4291.125115955834,741220.9354242327,0.0,31334.08908882324,12363.040323712294,270531.3434327603,1125333.3605955136,632039.5414998772,30.478405538385,1159.794352103604,459.644182962076,2318.940329243863,42875.894131829344,4007.119360601401,36376.41582117458,83610.24609806771,63414.94944939545,,0.094874007524,256381.42445505143,77830.73289338931,105895.75758053054,332184.61326785985,12896.492645911943,27627.04119969623,836.076018421137,70666.51345076221,0.0,18234.487799281193,1252.532328425633,10481.766105779889,273.558164185221,0.0,59415.97272040643,46421.60813938687,15163.715342861551,2995.191272675341
2023-06-26 00:00:00+00:00,12822324.676666118,8482602.609230736,10145669.193464529,,1140208.9775448642,1974019.3446453933,2307149.3257663413,0.0,7991.293482577847,488712.1272789949,917751.3807898712,2641956.254067823,4015136.407304341,848227.6537777539,294656.5066832824,1876964.205328422,691420.5227469944,305178.9765072239,,621073.6452841389,4926.48446849166,270070.16312784445,313352.2637715338,67015.87397068493,3484.456799997117,477301.17259363673,98173.15530444145,215551.32090413143,53110.82290124771,5910.546855854333,28232.028347213643,31851.54722821727,375657.4750579186,102954.29583371597,213860.8161479054,199969.47559895433,610402.1685710606,57788.47008947915,2446.319008638569,85282.75150581423,,38955.72864677174,29499.10820188334,1376764.223283592,0.0,768112.4852720049,7135.715413471008,205185.5022247402,2935916.836720473,225404.3326854023,0.0,836.238637610027,146.311853210646,2996.76686745408,37598.58497619144,0.0,13421.261587156523,15359.676918471803,2214.365178649918,,59854.74297152046,266859.1514521276,40427.22622373163,110887.90977897689,69857.1404425627,3374.615639756184,52688.52092310383,3104.723564257642,98212.13440132834,2141.013485758731,71022.75784924465,113.877881308429,18899.69419515047,115.987676234628,50.514182317225,11244.92718921957,358127.20907770493,27585.2958695402,3049.594654969397
2023-06-27 00:00:00+00:00,9951091.887607252,14852493.406138644,6657788.685259532,,3038564.2151616844,388620.1985178086,5401185.414468931,,39755.935130297905,463191.1998407404,1058029.5336611883,241520.28734824524,6916049.560919117,324535.23560509615,185284.14044017383,1065273.3949939965,217063.65403671225,272460.42267537327,,214885.52372984265,12428.444781532731,81542.9062191259,261727.7830217164,34444.33804457734,9326.266440515104,922777.4913834088,105633.63967339972,141860.2647415075,112046.72231377714,6561.963717071016,42729.53537289606,12738.569937994636,101578.5856529018,48318.73002500234,135909.07007946048,128831.34673176012,72554.08377741478,35842.512173032206,2495.029884025577,85360.0482843163,,90072.24857006969,1978.917183392181,563297.4636075435,,1996.936877365299,7372.422264327858,464430.8244292104,2559344.2048698496,26031.581409298065,0.0,4041.599441204542,2776.082078240944,95394.8583406658,16633.0640420162,0.0,36104.026941101205,46364.61685368495,23186.952545082037,,34.102862274862,63211.64476780166,57969.27371835641,68167.89415125937,37871.6918829328,10392.48543748377,15391.060356860626,1866.931079854505,78201.25441802337,242.13813988626,67899.99164260477,11830.946854408145,6948.998945396169,18505.121800954566,98.323980330617,76101.61450143924,100383.87842500176,17164.907968345626,30860.43175581161
2023-06-28 00:00:00+00:00,18125766.47690905,6141097.876842641,4844599.280622289,,983404.6949213812,386616.6383136288,3069390.884607496,,28965.935561935697,363612.6153841823,1574090.6434482492,250974.08165312416,1284809.9177787716,638313.0149311906,350310.63462901645,1051880.645653946,1532593.83585241,237651.6663446109,1708423.96693617,261934.2368725374,157.612447441988,379955.45788282313,34741.821189242175,103972.8745364322,23245.43816344098,316626.7453976369,147345.55525154708,152356.81745268637,126400.8174612446,63997.99570683793,53219.285346350065,32846.066874053045,1247311.570172249,431811.91731555393,198235.0179201743,247510.3000507301,146820.3597779069,43444.76767049883,66105.67799621292,44308.13025092007,,3768.95162598862,10885.923615932508,524328.688006683,,2956.09858810427,100576.03264141288,117885.10941194896,5748661.396652725,54044.858887310824,0.0,76.471330309273,1481.428551116606,2563.122339485586,36034.53250394148,0.0,133511.5939244393,41388.95630596772,26438.944653830604,,0.0,121385.97133821604,81142.01418065924,66207.53662874742,192078.59404421283,7634.905135577265,22899.60554644679,5180.918843450278,29153.093585601186,761.933112025973,61005.57872428928,8274.104220372683,49133.37454453528,494.910394634311,12046.518168378228,35173.00918567555,208165.00911357507,40566.5064334717,25118.551914212927
2023-06-29 00:00:00+00:00,12430796.475563772,4873392.215089131,8451567.646424292,,735833.8558392765,550612.6432730117,3252223.527548483,,1513.891644719444,333440.51267601317,417383.4518945971,1014988.8589483772,1602496.1910766491,958588.5212664657,88476.39382730005,650406.4914324423,951546.4859674692,247821.67789613223,5721198.769042539,184707.9080168447,10.227812580867,207453.72404732695,40103.72828312848,22565.73095125619,106.90684633802,401850.8508390567,159914.93951819913,110209.01742498275,100302.69557139948,4007.417465148902,9077.042483619236,38336.613965116194,119076.79176692944,208652.55069992796,50395.39037216872,103183.19972634224,59771.551995964575,5911.3757782946,1591.801723608252,10001.00035726114,,5750.062627941421,605900.700311058,888466.9579519591,,934.868838459337,124587.26058712504,76211.66958967638,10180235.339755652,93780.9851060359,282.995050178668,105.931019478929,777.041049315617,3215.703777577636,6571.307672633912,2713.372018627672,74123.04534059584,27622.843226210454,5441.174406661206,,0.0,111370.57796337524,58770.56327608932,44402.983334635595,111403.8076759408,1278.595754298215,31150.172274976645,3800.605593988493,70990.07765206683,0.0,20085.642162001794,7912.276552642438,16102.872541584116,26077.304177489023,178.622076337539,18035.823144328373,71349.60748187958,14949.206506695224,21806.876413970076
2023-06-30 00:00:00+00:00,16551002.952297656,7549722.613286513,18499491.40389679,,6100722.916010836,428079.76895795984,9159709.492735691,,29552.93061044917,629817.8343443546,358050.9776714938,277212.48824428336,3642211.906612577,1169936.4988546022,222944.9846081735,2007846.4303308672,846302.3320253677,604707.4903366554,3978014.853205227,632882.9593371793,8908.813604226669,233516.9108564056,47581.93065927781,40580.34874379154,12850.746990604996,1791610.165471248,223835.721272291,298082.1990803444,109545.8043507502,3910.591323298172,38907.13177648639,41471.8373085734,1327301.340084878,153528.19338229395,190572.24404195836,357953.97354940436,616717.8502523141,12866.290426402373,56406.04661189584,31240.465895778376,,4142.992966005781,13394.908946979322,1374781.2856794305,,0.0,37442.31862736205,117031.14991976044,3269923.7400802206,114472.51607794069,0.0,3220.175327884912,121.574356524685,25398.586405868395,7138.409573861877,0.0,89570.06096037115,11854.33238141687,62368.67477760234,,18716.75110091183,181241.86991573576,148066.81834244507,78525.17058343606,185835.99424382695,4932.776348030385,68700.56786659398,562.821175962418,46505.053714079666,0.0,154124.2417787454,10050.335533814075,5416.418267961744,4488.924619097215,193.569854120609,19784.61309548332,449349.5218957877,36393.847591950944,31166.148723013343
2023-07-01 00:00:00+00:00,12062774.825970136,4117776.874124619,3899790.870734668,,1257672.997202108,750104.5376817727,2680372.4661349547,,37307.69120567781,836192.9296942885,168479.64734012453,249636.6605658146,2563702.905156684,398947.283672227,95086.7197934046,494232.1786006592,535561.7945548821,296186.5637164838,2501573.745096399,347711.14089662535,1488.729041238095,263178.7353306999,36163.11522705797,68510.67521954667,1143.744650958174,1196113.7454616828,19957.71522182571,41763.200152326826,43004.33736751471,50349.30274924495,50082.154233550784,11924.237264554882,466183.963313838,370418.6206200387,391447.4742798254,274518.4107859628,241696.19611197445,17996.31346345575,3352.091525307173,15668.042032848987,,1746.138830908205,8894.427938921266,794204.3699613241,,71526.93560116683,24954.862294889324,43431.84501467641,3647566.1024515806,25619.61892907636,0.0,18.015946254367,0.0,221.656047967858,9641.113863277194,0.0,64256.13161965872,58693.33204698208,4621.82181081774,,38360.975406033634,38352.03861526619,74140.74881454927,44353.429050202874,16509.62858877289,10144.662646159268,60493.96438269115,10169.57703789527,49337.90174463471,0.0,24825.66380637888,26301.77201498486,25281.960464548178,610.708708308175,0.0,19939.472323544094,10982.55870559516,20478.966413911916,56221.40702702379
2023-07-02 00:00:00+00:00,9549375.638009364,9670398.971950203,7367287.237528684,,1442924.0090805958,685740.8931629374,5434764.890600232,,32160.784742964846,931937.3179983872,100291.34115467864,178836.92106724333,1279538.7334986082,295849.1799527598,55832.83968661322,560057.4355873804,424858.664828641,1118965.0390227458,3714289.8655131822,335565.9452466971,0.0,251607.7060089965,12701.274354071573,18333.31429345435,9737.38474644958,1525494.3970329529,92175.47702400154,136582.25589128438,117517.42993420151,42374.98726191908,12435.964308477936,26103.19572544428,155794.0380135119,307866.47925702535,235890.3214049484,132192.34816183726,38858.31168191537,56899.56073275411,1348.714464070336,15643.314919952318,,3782.495471346303,4851.475264315422,434206.44538361504,,29473.91631400727,15308.26490423649,18415.475425442113,1099279.0065571032,31746.612136410753,0.0,382.172403731387,403.716117169021,10989.738376570014,19706.771691898695,0.0,57563.79650500238,40273.37215884814,64344.57504550026,,0.009537234093,32816.089660282174,20668.654945618768,45581.46362798356,69192.87625970217,2570.113954012716,80329.76821301683,780.43184942467,115236.79561326212,0.0,13218.445777010997,5383.125687966632,15000.66419208438,0.0,888.856452368144,8005.902356930099,104380.50414044222,4815.948748309919,63039.81353396188
