datetime,chainlink_exchange_inflow_usd,uniswap_exchange_inflow_usd,aave_exchange_inflow_usd,ondo-finance_exchange_inflow_usd,maker_exchange_inflow_usd,injective-protocol_exchange_inflow_usd,lido-dao_exchange_inflow_usd,raydium_exchange_inflow_usd,dexe_exchange_inflow_usd,pendle_exchange_inflow_usd,olympus_exchange_inflow_usd,1inch_exchange_inflow_usd,frax_exchange_inflow_usd,convex-finance_exchange_inflow_usd,0x_exchange_inflow_usd,frax-share_exchange_inflow_usd,stargate-finance_exchange_inflow_usd,yearn-finance_exchange_inflow_usd,crvusd_exchange_inflow_usd,sushi_exchange_inflow_usd,cow-protocol_exchange_inflow_usd,loopring_exchange_inflow_usd,lcx_exchange_inflow_usd,band-protocol_exchange_inflow_usd,clearpool_exchange_inflow_usd,rocket-pool_exchange_inflow_usd,uma_exchange_inflow_usd,api3_exchange_inflow_usd,spell-token_exchange_inflow_usd,orbs_exchange_inflow_usd,tellor_exchange_inflow_usd,marlin_exchange_inflow_usd,liquity_exchange_inflow_usd,numeraire_exchange_inflow_usd,ssv-network_exchange_inflow_usd,bancor_exchange_inflow_usd,balancer_exchange_inflow_usd,oraichain-token_exchange_inflow_usd,coin98_exchange_inflow_usd,dia-data_exchange_inflow_usd,tokenfi_exchange_inflow_usd,dodo_exchange_inflow_usd,magic-internet-money_exchange_inflow_usd,dydx_exchange_inflow_usd,kujira_exchange_inflow_usd,keep-network_exchange_inflow_usd,smardex_exchange_inflow_usd,hashflow_exchange_inflow_usd,liquity-usd_exchange_inflow_usd,ampleforth_exchange_inflow_usd,whiteheart_exchange_inflow_usd,hegic_exchange_inflow_usd,insure_exchange_inflow_usd,paraswap_exchange_inflow_usd,bella-protocol_exchange_inflow_usd,degate_exchange_inflow_usd,stafi_exchange_inflow_usd,unizen_exchange_inflow_usd,melon_exchange_inflow_usd,chainflip_exchange_inflow_usd,seth_exchange_inflow_usd,alchemix_exchange_inflow_usd,perpetual-protocol_exchange_inflow_usd,harvest-finance_exchange_inflow_usd,badger-dao_exchange_inflow_usd,stake-dao_exchange_inflow_usd,polkastarter_exchange_inflow_usd,lever_exchange_inflow_usd,quickswap_exchange_inflow_usd,ramp_exchange_inflow_usd,inverse-finance_exchange_inflow_usd,tokemak_exchange_inflow_usd,ribbon-finance_exchange_inflow_usd,cryptex-finance_exchange_inflow_usd,kryll_exchange_inflow_usd,orion-protocol_exchange_inflow_usd,aura-finance_exchange_inflow_usd,airswap_exchange_inflow_usd,trustswap_exchange_inflow_usd
2023-06-23 00:00:00+00:00,13875374.442069491,2876755.9499486336,3233259.3937228234,,751455.5513142219,209504.90417005823,3608167.314066452,0.0,3086.527071795986,127749.37492103674,262736.26082652336,275617.00162019685,1399584.5688765266,314063.9231325756,59718.95639307424,1162421.908472699,679050.2038281889,157163.8830112432,,506680.5850771175,9061.388045192469,414880.8498845685,37055.73553683528,66246.41516902753,397.122809082353,374819.8633691035,225046.2098619673,225798.95366667688,187691.13229191615,7273.063502499948,19264.43783133724,32884.88822064995,532367.7052029443,399049.9306211499,73765.71691169235,1339229.6262149464,80199.13011596989,58056.856025376626,426984.9184124858,7520.606824512797,,56272.518904758734,258030.5476062002,1924101.3341189749,0.0,224943.76345134852,37137.560438159686,55342.1375548491,684584.0586067648,15184.355495539512,0.0,226.011725252769,289.119322687575,2739.757454986272,9003.225180998325,0.0,40175.4848103843,15296.666985020687,80058.98094344517,,85.710461723781,51305.0441419919,65236.91223751605,57130.2740559681,79336.64587958202,21861.568126362403,84161.96172113402,0.0,63636.01516953841,415.912364510168,4882.018182322213,47092.004922471795,31287.839071033766,216344.54774313068,87.967971544854,3586.700716989571,203521.82960371752,113159.01442253326,7636.786171456814
2023-06-24 00:00:00+00:00,7022153.704343919,2436985.4611748625,1219785.43827119,,1357305.97428412,300510.5808115602,2708097.10479435,0.0,42753.79249773436,151496.67103243564,125454.7615978362,505167.0944525236,3930500.99988159,60836.597878409615,285464.1030795075,700602.7064711273,644289.3910633224,416734.08946822246,,242289.91285906377,4998.162909662208,2396838.338264443,250774.38391520412,81108.52445609469,12108.270606695964,1749224.9468745512,154782.90341932073,200523.11104476004,104432.55897877732,11213.692489430208,134832.30206302597,115078.45627993028,386110.6197732596,45572.02101750528,28943.114505775815,69808.6055090056,22575.761451392613,15101.692289342946,86604.19802082107,167070.08547472188,,5115.229138316038,1471789.2914027362,300256.96754943446,0.0,18829.459410859767,13650.713643849687,106554.64338871533,3886278.5774181057,291844.14102034876,1577.505211481702,588.359265622695,2647.245901699836,2575.912923304127,17047.586771325805,194.994283155339,43270.81683073044,32795.44206239808,55115.37612456096,,0.0,107720.83933570488,20980.644996487797,81964.51817220027,141216.03258464212,4543.048885373526,66272.627383664,532.359805941491,62662.82549838346,106.755588048316,1071.060327863269,3541.686639628971,3389.467958305531,0.0,0.0,18857.273373459495,30939.7052490257,2706.838603216284,6563.338415806114
2023-06-25 00:00:00+00:00,9496809.76459842,15806079.26184941,41868269.95553889,,1031409.600114134,105465.10922539677,4191574.992785883,0.0,14096.234554307512,234181.49052980787,466858.73975956434,788326.6528573234,1589250.1543812172,706409.5553527828,164006.87329458052,983655.7874170912,1084354.7689273402,380043.8084261312,,763332.2589872924,144.25288201061,612095.6883326843,106568.40933030858,85030.97587532902,2190.13740965698,520204.6600113484,433957.53061318625,269472.7861538862,70409.47356039852,10861.840452460889,38021.78067964664,71474.55449774882,308440.1869050888,81080.21077306036,109682.7321459884,250773.3818774599,580698.7339892735,9600.11265700023,62416.12357885255,94603.1737751064,,8338.995498887787,5403.762008881406,965765.7964613388,0.0,121620.1224271775,13630.601182729984,146772.6202643141,1252552.8943867858,524831.4223317006,0.0,218.319001067845,533.661389522453,3300.044953605533,57495.15443496437,4641.324709993826,24887.560048884246,69695.8216108697,67125.98875103075,,105308.64737442948,212027.55921227476,48428.065867847814,98284.04844363428,305676.5559640462,12201.022093451083,37848.91586934881,2306.475104442602,66642.58337162276,398.76919596532,16594.12431708991,1507.163084906185,6880.374864781324,47.714170723608,0.0,55868.214449611114,13875.285778971453,17420.79663628123,5526.429896843233
2023-06-26 00:00:00+00:00,12436921.683243137,10261024.620623697,18058523.356471226,,1535766.3826049508,427530.56867839413,2937464.498478635,0.0,9132.26895308265,484520.31710562046,857993.8796176856,744361.6726589778,3816325.189610197,760142.0926548931,52181.801696528906,2043791.896680029,657036.9609448082,296532.7485779053,,257968.17092303,17238.947877632465,210926.458457575,238118.68459334804,67059.05317150324,2652.179322860998,627222.7714776875,84155.76384139268,200846.5789929441,69527.17202878928,21506.2335967132,71466.57951490382,24657.669942413348,495568.54019949114,72888.02879851172,294210.58914420084,184007.22464150356,597960.8460619453,92315.14770098588,189749.15386118015,111635.21058724898,,13608.62580508734,1410.954173814259,952221.6758193736,0.0,32113.15948434197,24996.923143285632,89632.34491621943,1579565.981256143,329677.4129967168,0.0,701.229534632509,57.224112621363,225602.95080127232,33485.26474764451,0.0,31229.334963081208,63820.69939906137,14796.604395028056,,25139.77031386565,250974.35761887304,54993.250206479366,108128.01140333984,38442.11441762664,4095.318461096543,48834.404126357535,164.516387728112,115829.60394368012,645.957890023316,61475.9049660308,222.240474375432,28463.822600521205,0.0,298.312579924516,90.064826776989,136316.04912460622,16797.81965542136,15034.09184008813
2023-06-27 00:00:00+00:00,10998749.887410628,17632793.1797437,9553445.422950769,,2456128.281235675,256946.2145697032,6803877.783886399,,42048.57454926499,437100.43470284494,907072.4405077972,309396.3987831634,2593405.309419909,492504.8580789045,134966.71828775678,1687705.09434208,479420.2233016102,263425.5081434168,,141859.33322019878,6545.491233666251,154938.3330734469,204582.80116283373,23386.463531290705,8151.326653683677,1000336.0936586655,127069.88976848371,172607.52566950492,172441.84601579755,3461.514321619756,52139.18349720845,18610.671066049224,159348.77057685598,96801.61217826427,49116.06305290271,264411.87112629175,49716.15296857072,57267.11059776006,54791.11614415656,93058.81163027472,,23521.238976765435,0.0,1432082.8141442686,,62919.056996176376,11306.081278410373,523975.961391524,3089770.9892572523,25749.383311924594,618.608590396644,79.754572786041,3410.364573675869,24841.32677449404,14658.112701173046,0.0,58253.528689030885,40670.94561795295,29623.415988887173,,34.102862274862,117337.69156819762,38322.28149747297,87484.54101024511,53373.46071516066,12557.95017030857,14251.726040470538,2462.035670608773,84061.21971432434,1267.541420638687,73088.91439253624,21838.145495006127,9034.385218677671,0.0,118.406590217559,48159.7447557897,100455.49158058746,35672.19895075108,40753.844406242715
2023-06-28 00:00:00+00:00,17014785.20298662,5536744.356824038,4791351.70237191,,791964.3533873436,347275.19056887407,2356429.222024961,,23122.855590634197,378336.88689405465,1181099.2845034243,310951.35617873806,2943966.8704883317,510134.8356856149,97338.4455638384,980431.8281095772,1165990.4666325354,111197.07808940648,1888788.630397735,291428.2368843518,670.271240482216,248615.74673090855,44073.67131949864,58076.32470123657,16499.00658319436,235155.9630525243,57557.14482500596,196052.27658327,70371.19395362651,2688.661822588839,33477.79911220133,36044.48679109568,1223006.0571797004,412188.6740042763,126018.30586388914,163836.83549054948,127628.65710779166,96165.34317367172,166083.213426139,43593.19837944555,,10526.686032044843,179110.91129248554,378941.9686988431,,64307.66634271253,78141.08650374912,16847.244411249765,3623242.4400822506,40143.71628222239,0.0,3869.819116081074,1192.291126766867,3424.250528255445,41891.30342006146,0.0,133151.7021390101,36382.26126721017,4893.192543336747,,392.552051745856,102459.64016701624,43711.17699427025,64740.82947282508,122618.7811786859,7017.748968116733,18965.34954754676,5684.678944615456,22971.78666048868,762.612206708795,55016.68750094605,11067.040764575046,28905.590979118868,494.910394634311,65.007848326584,39392.73657275021,67190.27128973555,53601.52704174725,36037.22956486287
2023-06-29 00:00:00+00:00,14862895.848365448,3454942.4730377733,8289688.680619048,,984459.5889561787,347683.5051012331,3447912.831349776,,1080.617686199166,459290.6211445437,331338.6309325979,964179.7177988772,3539489.5652125063,1090744.8893941347,62419.37432956158,592804.0770621737,180506.47813331743,138816.34386618884,5518868.101781863,144431.7681374228,1428.064294563071,72419.98010740157,56545.71087544914,26241.908935688494,2090.284993548934,385050.7968719599,11159.674267918715,89859.87700980327,20545.002939650018,0.0,0.0,21654.599778435462,180074.4929740629,76449.93018692889,48025.14263535813,523103.39564536937,21837.882205275237,6133.80208254495,266621.32402578596,9053.198944147653,,23701.391282680703,80408.21559624886,597163.9778264471,,546.419813866017,93390.49272878013,135370.6309746828,11839438.10545324,77598.95957174675,994.685046520239,11496.51530591195,1386.616709120216,1396.216421283992,12250.58255249693,7163.527455783913,83190.92904324271,39061.08593894896,33632.88435285201,,0.0,194056.83954741177,7241.091424988963,41973.98180024285,274205.47404383065,1057.472410128523,32573.24403585681,2079.093011331802,71034.29938973395,243.005210963066,17453.583717292982,36504.44137940277,12807.734268946308,17559.317039440353,1425.152684520745,30131.27345678664,176159.15419204926,117.829971066831,7648.597641196066
2023-06-30 00:00:00+00:00,16748111.586962488,6913916.918928949,14955399.910508676,,7083414.151548068,411951.2447392304,7584163.416422352,,29276.92827050433,789352.705899854,358553.23019668786,420085.52102017734,7221619.287592972,612249.2902164866,220820.02896470128,2584412.085381886,829027.2106491574,489909.062766286,3984570.693191688,497693.6522190279,2846.929702169879,190208.95748259616,79913.09849314892,52275.78397063536,11417.128075835371,1512588.7246759536,222896.6446041035,151373.46728491457,201328.16664208568,1769.691179228993,92010.81928132246,32899.21137633973,1243824.6454100308,235033.79468988147,156954.74176346345,323560.7107109463,385444.1376177404,35783.20088851948,166322.26146725495,8508.8877969667,,3326.135604616855,323085.503489404,866812.6897239819,,42898.88942660421,51928.916230095936,34910.12661809585,4048353.103175852,116860.90841148848,0.0,317.200726565647,0.0,30499.43126866624,6181.676347640346,61.322062670009,90081.6223256798,17508.157581844123,19851.16160534909,,89432.18531799549,206236.9919667901,97292.0223386602,71775.858327365,134628.67249969297,5163.519285951783,72972.77349936172,3896.468403246258,39798.62739817922,1331.178907868989,96353.6620306788,6764.105801053957,7171.960272203006,2616.030712088426,0.0,12216.549345159649,301933.6887103402,6885.177936609947,54613.12466583462
2023-07-01 00:00:00+00:00,9334618.114750616,4500424.014605593,4302223.689128034,,1783640.181307934,578793.0085252627,3742478.098701179,,36432.32999691239,721593.8612985773,143619.9803784403,178693.58836680363,2490829.12183364,388123.5535619098,211425.2262331744,523825.9945880095,765752.2518266186,829212.6991876597,2812984.5107818535,586053.1547274223,2735.749402071284,387225.1727881886,26564.640113949543,50732.6494632452,3445.596456717729,1882342.2922756528,205370.45174695176,129287.45979840423,117303.84579521455,35931.59430109317,88832.55461400986,14979.69964869712,649285.0647631137,474264.78966110526,622157.7286795839,252887.7080798145,297049.18576614757,19853.457210301607,152490.24319581242,28606.180566787203,,832.9668933747,440166.9665916526,900647.8079550805,,6329.528272127704,32886.7506847792,142089.06069517077,3265417.8451116253,34807.24984351708,0.0,0.0,95.873497001842,6243.29251766592,8487.535941492628,0.0,88346.35348838492,14930.796712430618,41563.420810308315,,0.0,40025.37298835011,224238.62901074157,59172.3600104856,60976.56612096053,10798.92901147358,55766.79127310224,99.968437429115,29865.22120065834,0.0,45671.57016940053,13945.849484155837,28163.19030185497,559.480741448446,0.0,14485.819707074894,67718.62005702603,5401.29350944647,65624.36136406718
2023-07-02 00:00:00+00:00,7149462.078708502,4028735.951580877,8051066.249885595,,1797221.0905849822,257966.69301642917,5955069.327799217,,28450.086700983153,842095.105636307,101511.66481765152,214828.30104971843,949302.4118778649,352256.17239545414,96089.78311678996,644333.9045909714,543887.7332062424,1042968.5897810787,3540268.470860078,496822.3641681691,2223.663365596049,162935.11950098255,11180.644674479909,39211.677817652766,6251.520885044778,4020677.763306915,145235.32240861806,131579.3237107824,96829.99415775562,58385.4291333371,26895.924700631174,37912.69866640468,211327.56349625863,353207.58356081275,385152.9603953693,177583.62232051694,84416.74206220644,47887.08946752496,1325.103616050167,20124.222229240542,,16529.02913098897,2567.863009304021,550631.262360234,,30423.757930548007,7354.132490795594,47013.09593512807,2384832.7550544105,42531.61983056101,45.898249730509,266.702243121776,891.994410944536,27165.357817612137,18453.04579956752,222.389912048344,89227.92848461418,22421.43357896924,68228.00183534637,,0.0,67386.94062042385,57771.06186544339,57614.50655996606,46073.291163793365,2174.089669439673,59163.45533297553,13.781796027671,127194.91964624226,264.240885141298,14885.257826234045,5992.821698755072,10917.223352440582,0.0,121.121446689577,1539.840294436779,25824.67440241607,1883.774234671785,68819.31811724106
