datetime,chainlink_exchange_balance,uniswap_exchange_balance,aave_exchange_balance,ondo-finance_exchange_balance,ethena_exchange_balance,maker_exchange_balance,injective-protocol_exchange_balance,lido-dao_exchange_balance,raydium_exchange_balance,dexe_exchange_balance,pendle_exchange_balance,olympus_exchange_balance,1inch_exchange_balance,frax_exchange_balance,convex-finance_exchange_balance,0x_exchange_balance,frax-share_exchange_balance,stargate-finance_exchange_balance,yearn-finance_exchange_balance,crvusd_exchange_balance,sushi_exchange_balance,cow-protocol_exchange_balance,loopring_exchange_balance,lcx_exchange_balance,band-protocol_exchange_balance,clearpool_exchange_balance,rocket-pool_exchange_balance,uma_exchange_balance,api3_exchange_balance,compound-ether_exchange_balance,spell-token_exchange_balance,orbs_exchange_balance,tellor_exchange_balance,marlin_exchange_balance,liquity_exchange_balance,numeraire_exchange_balance,ssv-network_exchange_balance,bancor_exchange_balance,balancer_exchange_balance,oraichain-token_exchange_balance,coin98_exchange_balance,dia-data_exchange_balance,tokenfi_exchange_balance,dodo_exchange_balance,magic-internet-money_exchange_balance,dydx_exchange_balance,kujira_exchange_balance,keep-network_exchange_balance,smardex_exchange_balance,messier_exchange_balance,hashflow_exchange_balance,renzo_exchange_balance,liquity-usd_exchange_balance,ampleforth_exchange_balance,wrapped-nxm_exchange_balance,whiteheart_exchange_balance,hegic_exchange_balance,insure_exchange_balance,paraswap_exchange_balance,orderly-network_exchange_balance,bella-protocol_exchange_balance,degate_exchange_balance,stafi_exchange_balance,unizen_exchange_balance,melon_exchange_balance,chainflip_exchange_balance,seth_exchange_balance,alchemix_exchange_balance,perpetual-protocol_exchange_balance,harvest-finance_exchange_balance,badger-dao_exchange_balance,stake-dao_exchange_balance,polkastarter_exchange_balance,synfutures_exchange_balance,lever_exchange_balance,quickswap_exchange_balance,ramp_exchange_balance,inverse-finance_exchange_balance,tokemak_exchange_balance,ribbon-finance_exchange_balance,cryptex-finance_exchange_balance,kryll_exchange_balance,orion-protocol_exchange_balance,aura-finance_exchange_balance,airswap_exchange_balance,trustswap_exchange_balance
2023-06-23 00:00:00+00:00,-377055.932908908,-51940.112343887165,39207.11959314285,0.0,0.0,459.035876368642,2463.673882610622,1990.018753802882,0.0,-117.326483495604,-70409.08009801718,13542.283700616,-561278.6958080378,-788077.7961314676,25251.298284315708,8112.668693451918,56897.333525067355,578733.3987997321,-102.551020546272,186.670735970215,35406.41788217144,99504.62287433328,775238.0523895106,-668789.6812375914,8291.080764630977,-41124.45329059,-151587.98584400152,9817.478528852496,-29547.510261273743,9.50593661,287324176.6720661,-987642.792560622,-1420.533142324611,-7298651.772911803,-68601.67472760857,276.462869100775,-725.753386360159,3101003.7609353308,4812.376751166606,-5168.709143445513,2071251.9704942168,3623.564129044311,0.0,498247.76019405667,-27091.948071531533,771373.6172307284,0.0,-3255249.151676876,272607.154312492,0.0,41532.821178457256,0.0,-472216.13059167104,-10865.190083447,-2186.151597039207,-0.754255530934,-6561.244057966505,46725.71430985361,-118303.47650196833,,-3429.072011110109,-613.539989537499,32106.964299427633,-84622.28568655468,517.599078494329,0.0,-0.01006964149,-22.859131989561,-169382.96950602997,-550.543995092,30617.032324980613,-8788.308243922042,91678.26031758286,,-4536053.366,-56.59775975,8940.415867421805,129.86477588513,3190.202068612144,24009.497667638218,44349.37782368928,-1267.26945006172,-1408.991660139999,83913.95635760544,-158875.66589999993,2137.820830686042
2023-06-24 00:00:00+00:00,-468622.91718091455,28623.928153942183,-2057.296639518132,0.0,0.0,916.992048102651,4182.323439418976,-285595.76454719534,0.0,-964.118869431442,-106897.52528945968,2896.535135976,-1749228.9383303314,2415433.561928857,-35972.393411183766,-402110.5115156784,-49307.451204486315,-344302.6871071737,21.588887612507,-112704.6366814952,-422769.936447375,23858.81489405592,6568859.314981829,-1123569.1050235797,24325.009220142812,134630.80377186072,8901.284654159386,26235.4592890176,5106.284283747061,-91.06287132,12398685.502389556,289364.6804482015,10235.54901473,8291638.383932207,99201.96232544552,-6612.21250768037,-1011.02111433963,-148143.00336318774,1904.164679829081,2668.61592198709,556496.9882125377,71719.07848507597,0.0,37883.16804183716,13709.673873367889,61563.25126236102,0.0,-4177593.973852779,1253306.2461675203,0.0,248416.31136163,0.0,2775649.933256638,-69953.90802216898,-940.396079844188,-7.980357520265,40123.43832390839,-119668.4352163038,18478.403238794403,,3451.077433181819,1027.171208279392,60945.91311683748,-95671.84894025914,1912.86681540671,0.0,-136.296919869517,1790.34188687899,-114326.62225603276,-288.928552791305,24410.22486397265,-4401.423810600313,23335.48694937491,,84602.02058616995,461.41210375,2293.995116384559,-67.37274499543,1012.653049741897,-106839.1592370918,0.0,-69.73268,-3730.88838416,1596.950051542158,-280550.36100000003,6290.213035116469
2023-06-25 00:00:00+00:00,-222371.88661038023,-603559.7081407995,-318143.13823047216,0.0,0.0,122.277841227113,-8327.435080453024,226871.5423601474,0.0,360.343930760062,-130235.10866613669,-2292.885418511001,197451.52763736085,-5372054.100741643,114511.29200938386,-205482.8663813162,31087.99504123514,954673.435993408,7.420027526495,-37371.75465976446,-290703.4785006268,-1334.449918988559,1170562.539393428,421452.8351556983,34997.57290133334,89139.58309534818,344.698581544714,-42353.0920774787,42457.13183145969,36.4754183,49059543.552877426,-505753.32360864605,-7189.7017562148,85890.95830759512,83081.26710380647,2942.943812838257,-3754.151462299259,102161.53054895758,93899.23148262894,1348.194150611263,-125592.2605760024,70109.47440466213,0.0,133.129025632864,1111.467905786551,109549.18458877504,0.0,764440.198732646,234151.0201249111,0.0,-320597.88286501996,0.0,127536.79899179132,-73583.80383386297,538.503694442922,-0.313277988628,-72094.02314469228,19085.03782690209,32275.859308213236,,20836.454740357494,3984.873093599875,-37804.29741770003,-201585.83847049053,215.770543583556,0.0,56.152174619596,-2942.30448967059,-56720.6994517128,-309.883789964178,-11428.237148468676,-1618.041733454723,32508.309257890676,,1079357.4192915305,-126.006246967981,8499.97852194392,-45.215168490945,355.153814809562,-19695.48849988251,-193.836604509427,0.0,-4285.024803100006,-19373.1853379625,20928.884799999993,13956.02889517605
2023-06-26 00:00:00+00:00,-66004.23088763653,330546.16045280686,121172.35192643505,0.0,0.0,568.991424082379,-212301.452666558,323341.78162487113,0.0,527.994333770934,-5234.856531944849,-5649.630076263009,-5941385.6889100885,-199172.74455062387,-24285.578686847508,-1156296.0849774866,27128.48068159061,-61288.17205474755,-1.584760582063,21511.58509673182,-533495.7596844175,160904.12972810116,-253681.4436595089,-1082548.6078052244,-295.01471493398,-33853.553935,3915.653512748679,-8733.584945112967,-14318.409029160915,-1.59213318,32562496.99479179,660620.5097065936,4075.251593408698,-871353.4486133457,122579.1020832807,-2313.078006157842,4488.185786509114,-42902.803090378824,-4439.097140696556,12056.998508009818,1198125.3254018778,108274.39032490388,0.0,-243893.5314142396,-28191.862442955455,-217587.7270469668,0.0,-6202560.667977044,3483715.6365665304,0.0,-296278.8182818835,0.0,-1353194.88113434,74892.039297713,333.201451988353,0.0,-10627.076553872865,-22008.6264247172,7516531.119744844,,-5898.921731048416,0.0,60864.48579801418,708327.0453157068,710.4655,0.0,-18.443239161959,-1143.49430545074,28830.065271672596,-114.36238531057,-14013.80475819207,1575.234137795705,-12659.417372247151,,-2202859.278633646,342.600928654813,-31003.524347462364,-239.920323469576,154.827,52148.04520121331,-101.257175231273,1025.149200891005,-15986.96719078,-131532.61620714137,-98499.8125,66020.98447160536
2023-06-27 00:00:00+00:00,168739.74015022608,520961.5953585481,44861.12753325704,,,-850.496872308426,-17273.15604645565,709152.3816446201,,1125.094664038058,-36744.04226366731,-14264.055581993982,214183.97327499336,-4327885.807026331,46090.057277591186,-234044.95728038548,105511.6874024717,437088.98672859033,-1.53670728535,-82602.08988068196,-107177.72497707576,-77810.19874205947,313124.26817448944,-844934.7642502418,-8582.447480888231,-46654.85807454192,2006.072895829916,13088.827889556109,30392.506804738292,16.22945652,123697602.37511374,-131290.21049628593,860.92769157,767865.3238746448,61611.29194274843,3606.474965272113,-4775.833683452493,346964.3999286349,-4924.446845578674,7112.784725048383,330876.28240364976,31906.56332107723,,-655026.3917868728,-1984.197373355104,432416.90400612104,,548856.1774774776,776678.8606979161,,153117.55486918506,,528633.6684265077,-145.042882212999,412.125726277999,6.4547,-301644.2722433255,153909.93610080204,-2513718.220082793,,-2907.558954102483,0.0,74724.05381971019,-82605.68685941453,347.974825055807,,0.0,3536.85725020332,-38570.11329495359,760.252990781094,6846.813056065332,5140.332152443452,-3619.342013198975,,455251.402831244,97.4535597,21834.864073889312,127.214279948151,13927.364943871366,11745.640362563783,-15934.156751369168,83.502336373157,-39172.240265149994,-202.596636316088,170253.0315,54900.30247543451
2023-06-28 00:00:00+00:00,-177394.8776569149,-120153.25106659783,-1145.766927800521,,,-291.314649353072,-5381.070370567116,-380913.4841401448,,-2857.96019592021,20309.31585562885,-37308.977511798985,195789.17994065443,1661498.2218568616,-37298.4752863327,-1247978.5413579608,-13965.275808583096,-667686.2662169465,-20.356468214145,233676.13891720815,44149.839964471925,7045.444432057942,-602259.3296315254,128068.11736427611,-37575.41961023295,-299570.6899037718,-2173.551599186235,-58035.08670283266,41590.137163665546,2.78401898,-122667396.49923268,-2615248.0145237683,-1936.385588635431,470218.9962913822,-31358.484833885585,-1511.321968295339,-4184.793766838277,-219328.52760707424,-4318.947745751033,18204.26606328257,667021.2895258841,-2705.426567812312,,70658.78150664261,168722.1285420638,-76299.88903703542,,593933.9905841865,-4445428.45548043,,-264812.8336727729,,-2118373.9284523786,-11056.528064208,2049.212709487417,0.0,290286.15688465885,-88708.75704553007,27682.240524223933,,9224.040721058844,0.0,-1912.093268754477,-87621.25564140313,-1286.10620431737,,0.211031217735,-1424.471809367631,-76908.36770822665,-54.413850645325,-31985.03594862617,-1512.99849501419,-13435.82584912648,,377924.08545416367,-117.984154169803,603.642172652987,-154.394579802909,3730.000200551141,-111836.833029347,0.0,-49431.80328428444,5917.756740420003,-86837.96423734448,105356.01960000004,62240.659148039405
2023-06-29 00:00:00+00:00,400430.09752080875,-294231.97905681154,-2474.09206715862,,,352.797878611507,-26103.282069442048,103155.83181331132,,-206.730496277871,157554.1535437606,-8187.597378631001,-201450.87644684868,1939156.2464428388,36414.96124165075,-129572.9247784633,-10627.15540768424,-1392466.070375157,-17.358051536711,-202566.2326489433,-61225.586323749805,19553.326250727252,-608824.2437095427,233419.93701067043,3104.832457827042,83994.0949531359,-445.136589042591,-96444.96495596367,-20802.933674901346,5.00732904,-174956829.30469823,-175255.61452724,-901.1841876,-2236763.0517664216,68836.4010541231,-10372.081028544348,-133.377723575741,1100268.7404230474,-8374.51096054832,76.323649359146,1818904.536180152,-3948.46133935001,,190448.4896594669,-528448.5529133069,-148874.52576338005,,-3791.439554951684,-5643839.102284892,,163593.8736364765,,1649214.0038059696,-12881.803769719998,-1825.375126959087,7.199516656582,894085.2268730704,151859.58268241148,-60436.198202849475,,8936.04190341546,28976.17739514557,32399.3829101172,177173.17609931296,1671.982730882265,,0.0,5842.051728290156,-105618.75341082847,-104.58064546,73906.27670284544,-584.269602615802,4565.916527678297,,-1380890.153259,12.18343931,5348.84774244307,-67.608407022346,41811.105828965,-17944.960095066963,-7402.264228913571,5161.666728187118,17572.19021696,62455.32242090352,-142289.7235,-82445.99877934865
2023-06-30 00:00:00+00:00,4293.735551015106,-130178.66850977873,-52017.67581299364,,,1296.700938633673,-1932.815463595722,-799821.7929464541,,-198.453053197667,193230.75391280785,44.045586883001,450355.63274267665,3584274.9323488357,-155054.22142244873,-9877.13308274507,99581.84368056532,-35573.07628878101,-18.041287496808,6556.938439942951,-202554.1189792212,-85324.64304101511,-195084.22834261335,464473.0663798633,10712.73300567568,-61823.91308136322,-7403.435936459096,-205.3192301407,-143289.56898665204,6.37499251,197332836.37417895,-92263.01381055496,5076.145595185461,-1119710.1520161282,-90964.00557214044,6229.024734072394,-2012.908428587721,-89690.78057126359,-50185.25546179987,8287.659055121645,727729.0164247969,-92389.53459451455,,-7369.354063511603,310081.3559185288,-249212.84146266183,,420071.92235800007,2462485.025057181,,-228662.4431463423,,774635.9381757316,782.845929443007,-3948.772672302759,0.0,-229279.14720963512,-30148.600006924575,153307.80142773964,,-1468.081225879823,396.664521261215,2308.551783049478,88388.01273323958,-2500.94885704523,,38.295010229612,1687.5322465391,-99135.06791016684,-247.988722766703,-23774.624130581746,436.682083270337,14460.120974759731,,2563684.5927998894,-126.101,28273.32751757696,-1330.215851720717,-4711.378377920974,9461.464832571395,-1646.494616327271,-798.2274,-11268.7806265,-88457.27502906439,-281588.55710000003,136952.0313382974
2023-07-01 00:00:00+00:00,-432383.7573470197,67636.24254457415,5626.19386373769,,,643.778944358157,-20749.990420369097,510797.79290401033,,-251.187915694164,-136418.36457386237,-2362.624314308,-213322.6763576902,-73003.86756933888,-3282.528188487403,552886.9010637731,5130.665642265456,402772.8987158731,80.451087009497,311635.56777276716,346963.656768208,16876.029394850055,533185.5478761006,-139142.22280459895,-13964.424495934676,97715.8736046882,17626.34995968984,113928.94629754596,83895.23261356082,3.953936,154901298.98486426,-585156.2206799473,3495.847664476604,394903.7552832149,194919.1038049718,7516.686602007533,12031.975005740624,-55352.17223387996,11416.442253958372,656.22874163977,951227.1440818164,51294.06145255279,,-8997.20911509588,433414.9735795663,52839.12485948355,,-576466.321155669,1311906.3106935988,,262180.57063187566,,-381514.622900712,6901.435076596002,-247.882063508617,0.0,-1417.28626,23368.169430391867,183656.797922073,,-1704.515151952658,0.0,79127.44590470697,-681363.109504893,2172.832629777942,,-20.001066109696,119.990845218967,275299.5570818833,599.740648509298,19965.04264551817,1542.848319936696,-14827.94486130075,,-7701611.65102879,-367.03794864,0.0,473.330927543448,-17745.348484713388,15358.376348432874,-44.15667525,0.0,-7603.940484689997,31980.470231253457,-142150.06829999998,56400.07157551388
2023-07-02 00:00:00+00:00,-374557.9972840058,-1021292.9834045976,9266.151706129926,,,413.572916829818,-49323.05274344341,249867.1495884804,,-1863.233134375638,-95800.91928027185,105.676845361,111404.3144365165,-330457.3525317936,14821.343521096604,187905.95406303008,14556.293869679865,202935.7645536775,-9.629890991136,-174277.7726649688,235141.49076896167,30211.771415109462,-372454.8368844781,-21318.768844114416,16229.36141738828,-147996.69811809462,65049.47678555231,32764.318720343825,-4539.720608131459,-74.0188954,-43587990.34850577,669172.251797443,1322.65860868,1505911.4252798506,58694.1441188565,3450.613227522669,7830.052315402831,116177.488752203,9490.932746395025,-3216.411905147696,-1.454093880604,18179.413055535177,,129730.59516354858,-2293.064588141797,54927.69257887001,,8653.266383679256,-1381763.4561927817,,75030.53682024722,,1282131.3659694,8207.397552242,-1654.448157392989,0.5,-9176.179403037922,120105.30186816922,502222.56823872006,,-1772.157172061918,1437.9395,106233.02216089136,-265824.889050332,227.262216543224,,-5.000219e-06,2417.296343960538,69318.2621019594,491.320220328959,-10730.545301093716,-970.681062566667,-66442.33752153024,,-584545.1039292499,218.5954,5699.551587894218,38.029429364729,867.235051817297,-22184.570263216265,0.0,-3170.82500745,-9600.16574928,-44182.19301001769,-27930.464,34972.20268403983
